feature,importance
heart_rate_max,0.2098264803804662
heart_rate_rms,0.08197232900295554
heart_rate_min,0.07518170953984711
heart_rate_mean,0.06512570896441382
heart_rate_energy,0.043005814684753174
heart_rate_fft_energy,0.03716613860666098
chest_acc16_y_max,0.033556804247311126
chest_acc16_y_energy,0.03136938879889897
ankle_gyro_z_std,0.024454275372711016
hand_acc16_y_rms,0.024427307191587068
hand_acc16_z_mean,0.024379924005434754
hand_acc16_x_mean,0.024240357060983604
hand_acc16_z_median,0.021751693022787615
ankle_acc16_x_energy,0.01948988120546232
chest_acc16_y_rms,0.018768413997417934
ankle_acc16_x_mad,0.016887993361192
chest_acc16_z_mean,0.016540887933335767
chest_acc16_z_median,0.014989198713515735
ankle_acc16_x_iqr,0.014020056685774522
hand_acc16_x_max,0.013645572221663606
hand_acc16_z_max,0.012117903912576423
hand_acc16_x_median,0.011445176912879192
chest_acc16_y_min,0.011418164160100611
ankle_gyro_z_max,0.010914383308330992
ankle_acc16_x_rms,0.010731155093628379
chest_acc16_y_fft_energy,0.010171216161304366
ankle_acc16_z_median,0.010081726199395307
hand_acc16_y_energy,0.009893051522078698
ankle_acc16_z_fft_energy,0.009247281431313018
hand_acc16_y_fft_energy,0.008564458567632587
chest_acc16_y_std,0.008232671529238109
ankle_acc16_x_median,0.008078307120883817
ankle_gyro_z_min,0.007643663883935252
chest_acc16_z_max,0.005722553952546783
chest_acc16_y_mad,0.005569673490572076
hand_acc16_x_fft_energy,0.005370737703084479
hand_acc16_x_energy,0.005091539025757852
ankle_acc16_z_energy,0.004716924543909045
hand_acc16_x_iqr,0.004406739448979141
chest_acc16_z_min,0.004205410261941006
ankle_gyro_z_mad,0.003992623761905238
ankle_acc16_y_median,0.0031546305823165503
hand_acc16_z_fft_energy,0.002951750622690949
ankle_acc16_z_rms,0.0027839071847397
hand_acc16_x_min,0.002703604952904351
hand_acc16_x_rms,0.002482661492928454
ankle_acc16_z_mean,0.0024004139687978563
hand_acc16_y_mad,0.0019940111998313437
ankle_acc16_x_mean,0.0014447939580986286
