feature,importance
chest_acc16_y_max,0.2184196668502847
chest_acc16_y_min,0.11260434068886264
hand_acc16_y_energy,0.08140744414532666
ankle_acc16_x_median,0.0677769698693101
ankle_gyro_z_std,0.04838068739088348
hand_acc16_x_iqr,0.047913504506162
chest_acc16_y_std,0.04630765350007125
ankle_acc16_x_iqr,0.03213919958250949
hand_acc16_x_mean,0.030050245123275015
heart_rate_min,0.025089237244626646
ankle_acc16_x_min,0.019949831466375634
chest_gyro_y_mad,0.015774237214005025
chest_acc16_z_min,0.014644344508579208
hand_acc16_x_rms,0.013277888612106391
heart_rate_fft_energy,0.01068745207077694
heart_rate_energy,0.010277000778961775
hand_acc16_z_median,0.009263369207424928
chest_gyro_y_fft_energy,0.00901952973030926
chest_acc16_x_energy,0.007271374408145703
ankle_gyro_x_rms,0.007232227295635257
hand_acc16_z_mean,0.006912034756953916
ankle_gyro_x_mean,0.006094931159705274
chest_acc16_x_min,0.0055745788799564005
chest_acc16_z_max,0.005534811765417817
chest_acc16_z_mean,0.0053681984810616265
hand_acc16_y_max,0.004700304549620848
heart_rate_mean,0.004389613673212728
heart_rate_rms,0.004259592674001943
chest_acc16_y_median,0.004211059085931078
ankle_acc16_z_mean,0.004196180131361078
hand_acc16_x_min,0.0038785359981904667
heart_rate_max,0.0035011477319620795
hand_acc16_y_entropy,0.003390129323115691
ankle_acc16_y_max,0.003081138535862453
ankle_acc16_z_fft_energy,0.003000931547423332
hand_acc16_x_max,0.002963774958117203
hand_acc16_x_fft_energy,0.0029002993118079066
hand_acc16_z_min,0.002884408538994471
heart_rate_median,0.0027828529262550203
ankle_acc16_y_fft_energy,0.002752029612852547
hand_acc16_x_std,0.002655533149398994
ankle_acc16_y_median,0.0025051234714075082
chest_acc16_z_energy,0.002428810899324584
ankle_acc16_z_median,0.0023016355372577095
ankle_acc16_x_mad,0.0021840445307402543
chest_acc16_z_fft_energy,0.00211508864154182
chest_acc16_z_median,0.0020367229942405795
ankle_acc16_x_energy,0.001996411783419094
hand_acc16_y_min,0.0018203958307189468
ankle_acc16_z_min,0.001743824485825294
ankle_acc16_y_mean,0.0016566380961884175
ankle_acc16_z_mad,0.0016300035054144914
hand_acc16_x_median,0.0016241540324975203
hand_acc16_y_mad,0.0014372623371584233
chest_acc16_z_kurtosis,0.0014244156362692116
chest_gyro_x_fft_energy,0.0014025184894994383
ankle_acc16_y_iqr,0.0013542344311560583
hand_acc16_y_mean,0.0012718013715743485
hand_gyro_x_iqr,0.0012463526505532463
hand_acc16_y_rms,0.0012439457811724182
chest_acc16_x_mean,0.001238283996417768
hand_acc16_z_rms,0.0012112828716406854
chest_gyro_y_max,0.0011444008927939705
hand_gyro_x_std,0.0011247822693599293
hand_gyro_z_iqr,0.0010954894104120683
ankle_gyro_z_max,0.001050868639595136
hand_acc16_z_energy,0.0009662491937429564
chest_acc16_x_rms,0.0009534384980998638
hand_gyro_z_mad,0.0009437841613546594
ankle_acc16_y_rms,0.0008175377821922196
ankle_acc16_y_entropy,0.0007682893567842221
ankle_acc16_x_max,0.0007552107255512794
chest_gyro_x_std,0.0007274555209195508
ankle_gyro_y_mean,0.0007222997702203766
hand_gyro_z_max,0.0007145670896445225
chest_acc16_x_median,0.0007067726436942025
hand_acc16_z_iqr,0.0006498943230497931
hand_acc16_x_mad,0.0006454099157994227
heart_rate_slope,0.0006452711304968863
ankle_gyro_z_skew,0.000637774309085296
hand_gyro_z_fft_energy,0.000631458893936771
ankle_acc16_z_skew,0.0006013322836435466
ankle_acc16_z_max,0.0005963716438989818
hand_acc16_y_std,0.0005875065666172837
ankle_acc16_y_min,0.0005871580824123282
chest_gyro_x_min,0.0005742368713487068
hand_acc16_y_fft_energy,0.0005724619118931761
chest_acc16_y_energy,0.0005617376619335979
hand_acc16_z_max,0.0005588709663986572
chest_gyro_y_energy,0.0005400425896670667
hand_acc16_z_mad,0.0005282533352495265
hand_acc16_y_median,0.0005180963976631577
chest_acc16_z_rms,0.0005159975099497339
ankle_acc16_x_fft_energy,0.0005109717144196349
ankle_acc16_x_std,0.0004934477785585862
ankle_gyro_x_median,0.0004895735012372227
chest_gyro_y_mean,0.0004895262698934529
ankle_acc16_y_energy,0.000483956247256938
chest_acc16_x_std,0.0004799451122186804
ankle_gyro_y_iqr,0.0004552095349528353
hand_gyro_y_median,0.0004463570702279837
chest_gyro_y_median,0.00044296693501031374
ankle_gyro_x_mad,0.0004253720912069798
