feature,importance
chest_acc16_y_std,0.02131217810582095
chest_acc16_y_max,0.01919933999475842
ankle_acc16_x_energy,0.017074965360407732
ankle_acc16_y_std,0.016288316534243487
chest_acc16_y_min,0.015940940068979406
heart_rate_mean,0.015559501150682168
ankle_acc16_x_mad,0.015139614182931756
ankle_gyro_z_rms,0.015052277503754251
hand_acc16_y_rms,0.014971505309435142
ankle_acc16_x_iqr,0.014213384112189876
ankle_acc16_x_fft_energy,0.014178992370837138
hand_acc16_y_energy,0.014140387966018589
ankle_acc16_y_mad,0.013697437069385558
heart_rate_min,0.01361919312118877
ankle_gyro_z_mad,0.013468986441840658
ankle_acc16_x_rms,0.013323103543550964
ankle_gyro_z_energy,0.013319122157001526
chest_acc16_y_energy,0.013238022473580427
chest_acc16_y_rms,0.013056173541356792
ankle_acc16_x_std,0.012934692786155746
heart_rate_max,0.012831953481907556
chest_acc16_y_fft_energy,0.01252164962989522
ankle_gyro_z_std,0.012094946932980606
ankle_gyro_z_fft_energy,0.011815818808774312
ankle_acc16_x_mean,0.011762903561259828
hand_acc16_y_fft_energy,0.011667568243889119
ankle_acc16_x_max,0.011634030452574278
heart_rate_energy,0.011607354664995666
chest_acc16_y_mad,0.011226517303863728
heart_rate_fft_energy,0.011023282659324831
hand_acc16_x_mean,0.010926189574644621
heart_rate_median,0.010767076527357993
ankle_gyro_z_max,0.010703508331054244
ankle_acc16_x_min,0.010504426015870757
heart_rate_rms,0.010344347998158757
chest_acc16_z_median,0.010247141439243023
hand_acc16_y_std,0.009826615474309186
hand_acc16_y_mad,0.009513984598937613
hand_acc16_x_median,0.008772627091930298
chest_acc16_z_max,0.00817844334590546
ankle_gyro_x_energy,0.008135676883640208
chest_acc16_y_iqr,0.008114588832653527
chest_acc16_y_mean,0.008069775080104733
ankle_acc16_x_median,0.008003095611295603
ankle_acc16_z_std,0.00782326058618411
hand_acc16_x_fft_energy,0.0075513239417934735
chest_acc16_z_mean,0.007386944633532789
hand_acc16_x_max,0.007130900023323696
chest_acc16_z_fft_energy,0.007112625418576205
hand_acc16_y_iqr,0.006928294483687594
hand_acc16_x_rms,0.006926976736665062
chest_gyro_y_std,0.006885860267346529
ankle_gyro_z_min,0.00684928304567825
chest_acc16_z_min,0.006695627865656129
hand_acc16_x_energy,0.006575567139598042
chest_gyro_x_std,0.0065558945519332305
chest_gyro_x_max,0.0065377163366942374
ankle_gyro_z_iqr,0.0065083208626268985
chest_gyro_x_energy,0.006428504995530716
chest_gyro_y_rms,0.006337992738990835
ankle_acc16_y_min,0.006293231255280226
chest_acc16_y_median,0.006258503896000091
ankle_gyro_x_std,0.006211895286931316
hand_acc16_x_min,0.005935668488825331
chest_acc16_z_rms,0.00586020154529432
hand_acc16_z_mean,0.005714600285238688
chest_gyro_x_rms,0.005671246115618512
chest_gyro_x_fft_energy,0.005642587745512689
hand_acc16_z_median,0.00526196978595295
hand_acc16_x_std,0.005245869727291209
hand_acc16_z_fft_energy,0.005200610754460718
chest_gyro_y_fft_energy,0.004980820166202386
ankle_acc16_y_max,0.004949077569069476
hand_gyro_z_mad,0.004899223422979314
chest_gyro_y_energy,0.0048229180140752
hand_acc16_x_mad,0.004795427226558691
hand_acc16_x_iqr,0.004709266710824152
hand_acc16_z_energy,0.0046282749187368495
chest_gyro_y_mad,0.004604593389874726
chest_acc16_z_energy,0.0045906920990953365
hand_acc16_y_kurtosis,0.004590258007216313
hand_gyro_z_iqr,0.004389084443852861
ankle_gyro_x_rms,0.004374441516572433
ankle_acc16_y_energy,0.004295653347022519
hand_acc16_y_max,0.004077622091077178
hand_acc16_z_rms,0.0039399161454005864
ankle_acc16_y_rms,0.0039099169918541355
hand_acc16_z_max,0.0039051298441030234
ankle_gyro_y_min,0.00384960128544776
hand_acc16_z_entropy,0.0034643234518944525
chest_gyro_y_iqr,0.003371048451722562
chest_gyro_x_mad,0.0033524349624151524
ankle_acc16_y_iqr,0.0031986362681211728
ankle_acc16_y_fft_energy,0.0031932514086807032
hand_acc16_z_std,0.0031878961229882814
hand_acc16_z_iqr,0.0031647385168381377
hand_gyro_z_std,0.0031008109082322926
ankle_gyro_x_mad,0.00305383099695828
hand_gyro_z_rms,0.0030105564133494013
chest_gyro_y_min,0.0030035019692466708
hand_acc16_y_entropy,0.002955490946461359
ankle_acc16_y_median,0.0028833526534569193
hand_acc16_z_min,0.0028196093353713954
hand_gyro_z_energy,0.0028100859670031823
hand_acc16_y_mean,0.0028093939721821693
ankle_gyro_x_fft_energy,0.002808365846972019
ankle_gyro_x_min,0.0026312970446008993
chest_gyro_z_energy,0.002484766126682258
chest_gyro_y_max,0.0024089191949161278
hand_acc16_z_mad,0.002399714297220865
chest_acc16_x_std,0.002355510977289532
