dataset,feature_set,window_type,window_size,stride,protocol,model_family,model,fold,test_subject,seed,n_train,n_test,fit_predict_sec,label_encoding_note,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,random_forest,1,101,42,,3883,,reconstructed_from_existing_predictions,0.8274530002575329,0.8297331523531435,0.8232706234469568,0.821742130319525,0.8319641579260889,0.8297331523531435
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,random_forest,2,102,42,,4095,,reconstructed_from_existing_predictions,0.8800976800976801,0.8724527400164974,0.877523400031173,0.8784942551291164,0.9002246304676763,0.8724527400164974
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,random_forest,3,103,42,,2708,,reconstructed_from_existing_predictions,0.9095273264401772,0.9093956547746593,0.6586689730858033,0.9150207226270516,0.671194892452768,0.6490565800634763
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,random_forest,4,104,42,,3599,,reconstructed_from_existing_predictions,0.7966101694915254,0.811242097446681,0.6597236018475291,0.7924850345548917,0.6844831270510641,0.6680338553097912
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,random_forest,5,105,42,,4236,,reconstructed_from_existing_predictions,0.9032105760151086,0.8954817083945382,0.9005802975658308,0.9045656346638626,0.909863890919879,0.8954817083945382
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,random_forest,6,106,42,,3887,,reconstructed_from_existing_predictions,0.883972215075894,0.8094281037961731,0.8059925104973487,0.885227719959962,0.8066747987699535,0.8094281037961731
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,random_forest,7,107,42,,3617,,reconstructed_from_existing_predictions,0.9118053635609621,0.8969718907253349,0.8270531908913115,0.9133094895111589,0.8390598616919744,0.8213898823305396
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,random_forest,8,108,42,,4076,,reconstructed_from_existing_predictions,0.9288518155053974,0.9149045264061754,0.914372078506308,0.9302424042465337,0.9180696700459197,0.9149045264061754
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,random_forest,9,109,42,,98,,reconstructed_from_existing_predictions,0.8775510204081632,1.0,0.23369565217391305,0.9347826086956522,0.25,0.2193877551020408
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,knn_k5,1,101,42,,3883,,reconstructed_from_existing_predictions,0.8148338913211435,0.810378884603927,0.8121816270242744,0.8132624060772246,0.829949106232622,0.810378884603927
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,knn_k5,2,102,42,,4095,,reconstructed_from_existing_predictions,0.8051282051282052,0.8154937234541841,0.8189361832772,0.7945329963732572,0.8683549053716947,0.8154937234541841
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,knn_k5,3,103,42,,2708,,reconstructed_from_existing_predictions,0.8323485967503693,0.8245776184146116,0.5559433219364377,0.8373004360226483,0.5764841479449877,0.5457174644552207
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,knn_k5,4,104,42,,3599,,reconstructed_from_existing_predictions,0.8263406501806058,0.8227230980642544,0.6905384057556874,0.8267430394062698,0.7194882761187283,0.6830871916154516
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,knn_k5,5,105,42,,4236,,reconstructed_from_existing_predictions,0.851038715769594,0.8418982011425292,0.8525201062340176,0.8521920646372431,0.8784778057188989,0.8418982011425292
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,knn_k5,6,106,42,,3887,,reconstructed_from_existing_predictions,0.8484692564960123,0.7788255962281054,0.7784540694117482,0.8498799178218264,0.7883801061496984,0.7788255962281054
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,knn_k5,7,107,42,,3617,,reconstructed_from_existing_predictions,0.8747580868122754,0.8561686266933664,0.7935712190042064,0.8763330029280347,0.8177770231373541,0.7844550787268649
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,knn_k5,8,108,42,,4076,,reconstructed_from_existing_predictions,0.784838076545633,0.7766967270294626,0.7832940039397246,0.7823525394723657,0.8256530239111396,0.7766967270294626
pamap2,acc16_gyro_hr,overlapping,128,64,loso,baselines,knn_k5,9,109,42,,98,,reconstructed_from_existing_predictions,0.5306122448979592,1.0,0.08666666666666667,0.6933333333333334,0.125,0.0663265306122449
