dataset,model,eval_unit,metric,folds,mean,std,ci95_half_width,ci95_low,ci95_high
pamap2,cnn,window,accuracy,9,0.7541195278282553,0.12487864492002147,0.08158738134774736,0.672532146480508,0.8357069091760027
pamap2,cnn,window,macro_f1,9,0.5977551785317642,0.2331226497613827,0.15230679784410336,0.4454483806876608,0.7500619763758676
pamap2,cnn,window,balanced_accuracy,9,0.7485534474444964,0.11570897220536841,0.07559652850750735,0.6729569189369891,0.8241499759520037
pamap2,gnn,window,accuracy,9,0.680873391488091,0.1978916039928975,0.1292891812753597,0.5515842102127313,0.8101625727634507
pamap2,gnn,window,macro_f1,9,0.5674008248418043,0.2350993538083398,0.15359824448811532,0.413802580353689,0.7209990693299196
pamap2,gnn,window,balanced_accuracy,9,0.656562622199064,0.18041500207749378,0.11787113469062926,0.5386914875084348,0.7744337568896933
pamap2,gnn_attention_adj,window,accuracy,9,0.6988144077624215,0.21887905818271805,0.1430009846793758,0.5558134230830457,0.8418153924417974
pamap2,gnn_attention_adj,window,macro_f1,9,0.5914197103602898,0.24547540967990655,0.16037726765753893,0.43104244270275094,0.7517969780178287
pamap2,gnn_attention_adj,window,balanced_accuracy,9,0.6749644621955753,0.20466375812707518,0.13371365530968912,0.5412508068858861,0.8086781175052644
pamap2,gnn_flatten_lstm,sequence,accuracy,9,0.8706670181491627,0.12554306601356938,0.08202146979553199,0.7886455483536308,0.9526884879446946
pamap2,gnn_flatten_lstm,sequence,macro_f1,9,0.6851557918125357,0.2676038918545503,0.1748345426783062,0.5103212491342295,0.859990334490842
pamap2,gnn_flatten_lstm,sequence,balanced_accuracy,9,0.8602192326816791,0.11838234405763512,0.07734313145098827,0.7828761012306908,0.9375623641326674
pamap2,gnn_learnable_adj,window,accuracy,9,0.7746744523370988,0.11568933393488458,0.07558369817079126,0.6990907541663075,0.85025815050789
pamap2,gnn_learnable_adj,window,macro_f1,9,0.604574745190911,0.2314270592027026,0.15119901201243235,0.4533757331784787,0.7557737572033434
pamap2,gnn_learnable_adj,window,balanced_accuracy,9,0.7507584254473118,0.10286634812402706,0.06720601410769768,0.6835524113396141,0.8179644395550094
pamap2,gnn_lstm,sequence,accuracy,9,0.7706381117538661,0.12086107981395644,0.0789625721451182,0.691675539608748,0.8496006838989842
pamap2,gnn_lstm,sequence,macro_f1,9,0.6209710308533015,0.24485915129891883,0.15997464551529364,0.4609963853380079,0.7809456763685951
pamap2,gnn_lstm,sequence,balanced_accuracy,9,0.7562434169645744,0.09852617929765858,0.06437043714113694,0.6918729798234375,0.8206138541057113
pamap2,improved_gnn_lstm,sequence,accuracy,9,0.8582764711508629,0.10133087829106792,0.06620284048349771,0.7920736306673652,0.9244793116343606
pamap2,improved_gnn_lstm,sequence,macro_f1,9,0.7137895405125663,0.2639040292642938,0.1724172991193386,0.5413722413932277,0.8862068396319048
pamap2,improved_gnn_lstm,sequence,balanced_accuracy,9,0.8443934142898721,0.09708942320451977,0.06343175649361958,0.7809616577962526,0.9078251707834917
pamap2,improved_gnn_lstm_attn_adj,sequence,accuracy,9,0.8582745519781555,0.10847999365887542,0.07087359585713195,0.7874009561210236,0.9291481478352874
pamap2,improved_gnn_lstm_attn_adj,sequence,macro_f1,9,0.7245011543728097,0.26327966344403614,0.17200938011677028,0.5524917742560395,0.89651053448958
pamap2,improved_gnn_lstm_attn_adj,sequence,balanced_accuracy,9,0.8434148376228581,0.10592181581819997,0.06920225300122397,0.7742125846216341,0.912617090624082
pamap2,lstm,window,accuracy,9,0.7203169368708395,0.13981235676351084,0.09134407308549375,0.6289728637853458,0.8116610099563333
pamap2,lstm,window,macro_f1,9,0.556031143175168,0.2157921537094436,0.14098420709016982,0.4150469360849982,0.6970153502653378
pamap2,lstm,window,balanced_accuracy,9,0.7115047798432579,0.12475912483275262,0.0815092948907317,0.6299954849525262,0.7930140747339895
