dataset,eval_protocol,model,eval_unit,fold,fold_subject,test_subject,validation_subject,n_train_windows,n_val_windows,n_test_windows,n_test_windows_raw,n_train_eval_samples,n_val_eval_samples,n_test_eval_samples,n_test_predictions,n_test_classes,total_params,trainable_params,non_trainable_params,parameter_size_mb_float32,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,artifact_dir
pamap2,loso,cnn,window,1,101,101,102,22221,4095,3883,3883,22221,4095,3883,3883,12,302348,302348,0,1.1533660888671875,0.7004893123873294,0.7144870397188304,0.6775588563347186,0.6617214401903742,0.6981425773663189,0.7144870397188304,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,2,102,102,103,23396,2708,4095,4095,23396,2708,4095,4095,12,302348,302348,0,1.1533660888671875,0.5836385836385837,0.6250407852273151,0.5796472233487918,0.5358422630828048,0.6908935525304062,0.6250407852273151,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,3,103,103,104,23892,3599,2708,2708,23892,3599,2708,2708,8,302348,302348,0,1.1533660888671875,0.8552437223042836,0.8493315607368217,0.570195766255469,0.8563528018130704,0.5778875780989131,0.5662210404912146,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,4,104,104,105,22364,4236,3599,3599,22364,4236,3599,3599,10,302348,302348,0,1.1533660888671875,0.693248124479022,0.7072371391148022,0.5526689185922027,0.6608546229229898,0.5765564920175049,0.5893642825956685,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,5,105,105,106,22076,3887,4236,4236,22076,3887,4236,4236,12,302348,302348,0,1.1533660888671875,0.8564683663833805,0.8522510066803345,0.8514692602187967,0.8561588617961732,0.8583077460683416,0.8522510066803345,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,6,106,106,107,22695,3617,3887,3887,22695,3617,3887,3887,12,302348,302348,0,1.1533660888671875,0.8924620529971701,0.8395248009086703,0.8397042989983231,0.8929170006904239,0.8475930189403996,0.8395248009086703,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,7,107,107,108,22506,4076,3617,3617,22506,4076,3617,3617,11,302348,302348,0,1.1533660888671875,0.8230577826928394,0.8000150378500934,0.7366239175449835,0.8240395090806495,0.787847263260479,0.7333471180292523,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,8,108,108,109,26025,98,4076,4076,26025,98,4076,4076,12,302348,302348,0,1.1533660888671875,0.5559371933267909,0.5225630445187005,0.4965093710791843,0.5477013095703531,0.5980532455216206,0.5225630445187005,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,9,109,109,101,26218,3883,98,98,26218,3883,98,98,1,302348,302348,0,1.1533660888671875,0.826530612244898,0.826530612244898,0.0754189944134078,0.905027932960894,0.0833333333333333,0.0688775510204081,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,gnn,window,1,101,101,102,22221,4095,3883,3883,22221,4095,3883,3883,12,10892,10892,0,0.0415496826171875,0.7113056914756631,0.6731716609338575,0.6471454364107093,0.6792140185350023,0.7296005194419889,0.6731716609338575,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,2,102,102,103,23396,2708,4095,4095,23396,2708,4095,4095,12,10892,10892,0,0.0415496826171875,0.5711843711843712,0.6052402866208457,0.5502008530991171,0.5244331720904774,0.7056279354201132,0.6052402866208457,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,3,103,103,104,23892,3599,2708,2708,23892,3599,2708,2708,8,10892,10892,0,0.0415496826171875,0.7935745937961596,0.7542011947777263,0.5145984464971944,0.7961716056675956,0.5460764109618242,0.5028007965184842,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,4,104,104,105,22364,4236,3599,3599,22364,4236,3599,3599,10,10892,10892,0,0.0415496826171875,0.8477354820783551,0.8429659050213933,0.6957757871316601,0.8454820722026823,0.713698963099927,0.7024715875178278,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,5,105,105,106,22076,3887,4236,4236,22076,3887,4236,4236,12,10892,10892,0,0.0415496826171875,0.8290840415486308,0.7782285150287436,0.7908865042295479,0.8249075811843111,0.8240492570234444,0.7782285150287436,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,6,106,106,107,22695,3617,3887,3887,22695,3617,3887,3887,12,10892,10892,0,0.0415496826171875,0.8211988680216105,0.732054110951486,0.7461832345956393,0.8347445391874523,0.7872607573651855,0.732054110951486,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,7,107,107,108,22506,4076,3617,3617,22506,4076,3617,3617,11,10892,10892,0,0.0415496826171875,0.7904340613768316,0.7669676801273334,0.7228124517317153,0.8046200952691888,0.7631890207937109,0.703053706783389,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,8,108,108,109,26025,98,4076,4076,26025,98,4076,4076,12,10892,10892,0,0.0415496826171875,0.4980372914622178,0.4909281238812102,0.4040584733215163,0.4296503033756899,0.4703339408218797,0.4909281238812102,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn,window,9,109,109,101,26218,3883,98,98,26218,3883,98,98,1,10892,10892,0,0.0415496826171875,0.2653061224489796,0.2653061224489796,0.0349462365591397,0.4193548387096775,0.0833333333333333,0.0221088435374149,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn\window
pamap2,loso,gnn_attention_adj,window,1,101,101,102,22221,4095,3883,3883,22221,4095,3883,3883,12,11376,11376,0,0.04339599609375,0.7115632243110996,0.6731591188778195,0.6454361266852162,0.678258868906344,0.6433897733341194,0.6731591188778195,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,2,102,102,103,23396,2708,4095,4095,23396,2708,4095,4095,12,11376,11376,0,0.04339599609375,0.6967032967032967,0.7227692552381639,0.6948450434882779,0.6728146470797628,0.7929539591596876,0.7227692552381639,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,3,103,103,104,23892,3599,2708,2708,23892,3599,2708,2708,8,11376,11376,0,0.04339599609375,0.8142540620384048,0.7773402100175517,0.5299615751677181,0.815509829438461,0.5552663101226393,0.5182268066783677,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,4,104,104,105,22364,4236,3599,3599,22364,4236,3599,3599,10,11376,11376,0,0.04339599609375,0.8230063906640733,0.8211664452920993,0.6697283269478062,0.8120233694310999,0.6985006563435207,0.6843053710767494,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,5,105,105,106,22076,3887,4236,4236,22076,3887,4236,4236,12,11376,11376,0,0.04339599609375,0.8493862134088763,0.8081018112697661,0.8167100449388193,0.8473141707101732,0.8345196011645352,0.8081018112697661,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,6,106,106,107,22695,3617,3887,3887,22695,3617,3887,3887,12,11376,11376,0,0.04339599609375,0.840751222022125,0.7458672640278489,0.7462649354810768,0.8406222254422427,0.7634124430560026,0.7458672640278489,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,7,107,107,108,22506,4076,3617,3617,22506,4076,3617,3617,11,11376,11376,0,0.04339599609375,0.8634227260160354,0.8366278392834062,0.7795017580728038,0.8693378648761131,0.803203595294277,0.7669088526764557,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,8,108,108,109,26025,98,4076,4076,26025,98,4076,4076,12,11376,11376,0,0.04339599609375,0.4759568204121688,0.4753625014678075,0.4109178177550079,0.4422551968749858,0.5334461731798451,0.4753625014678075,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_attention_adj,window,9,109,109,101,26218,3883,98,98,26218,3883,98,98,1,11376,11376,0,0.04339599609375,0.2142857142857142,0.2142857142857142,0.0294117647058823,0.3529411764705883,0.0833333333333333,0.0178571428571428,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn_attention_adj\window
pamap2,loso,gnn_flatten_lstm,sequence,1,101,101,102,22221,4095,3883,3883,22158,4086,3874,3874,12,466764,466764,0,1.7805633544921875,0.8897780072276716,0.8927873242619802,0.8914269128172198,0.8893193548189937,0.9078352784686288,0.8927873242619802,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,2,102,102,103,23396,2708,4095,4095,23333,2699,4086,4086,12,466764,466764,0,1.7805633544921875,0.8076358296622613,0.8244963813072231,0.8073465921302838,0.7985642185170535,0.8796619480295639,0.8244963813072231,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,3,103,103,104,23892,3599,2708,2708,23829,3590,2699,2699,8,466764,466764,0,1.7805633544921875,0.9296035568729158,0.9241999771410518,0.6210595413720782,0.9313737729464868,0.6270107911287821,0.6161333180940344,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,4,104,104,105,22364,4236,3599,3599,22301,4227,3590,3590,10,466764,466764,0,1.7805633544921875,0.8690807799442897,0.8749151994174973,0.7167734047616792,0.8537239927604353,0.7481241398392111,0.729095999514581,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,5,105,105,106,22076,3887,4236,4236,22013,3878,4227,4227,12,466764,466764,0,1.7805633544921875,0.9105748757984388,0.8957297513163086,0.8978285137747034,0.910404390172686,0.908245619147658,0.8957297513163086,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,6,106,106,107,22695,3617,3887,3887,22632,3608,3878,3878,12,466764,466764,0,1.7805633544921875,0.92573491490459,0.8539370557470273,0.8479580063543114,0.926502719376814,0.845163345754766,0.8539370557470273,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
