,precision,recall,f1-score,support
lying,0.9405534677143833,0.9185852519185852,0.9294395678595544,2997.0
sitting,0.6505660377358491,0.5981956974323387,0.6232827187274042,2882.0
standing,0.6794995187680462,0.4776725304465494,0.5609852999602701,2956.0
walking,0.8463576158940397,0.8595641646489104,0.8529097704217833,3717.0
running,0.9331742243436754,0.7686762778505898,0.8429752066115702,1526.0
cycling,0.8397006695549429,0.8318376902067889,0.8357506860054881,2563.0
nordic_walking,0.8913546000924641,0.6584699453551912,0.75741504615989,2928.0
ascending_stairs,0.8144744399770247,0.7842920353982301,0.799098337559876,1808.0
descending_stairs,0.46871215179652803,0.7193308550185874,0.5675873869469568,1614.0
vacuum_cleaning,0.5355163727959698,0.7793255131964809,0.6348163630934608,2728.0
ironing,0.6864620030196276,0.7337278106508875,0.7093083723348934,3718.0
rope_jumping,0.9135802469135802,0.7769028871391076,0.8397163120567376,762.0
accuracy,0.7398258220470877,0.7398258220470877,0.7398258220470877,0.7398258220470877
macro avg,0.7666626123838443,0.7422150549385206,0.746107088978157,30199.0
weighted avg,0.760711235192566,0.7398258220470877,0.742613894690329,30199.0
