,precision,recall,f1-score,support
lying,0.9002614867388868,0.8041374708041374,0.8494888967218893,2997.0
sitting,0.6946847960444994,0.5850104094378904,0.6351478621209268,2882.0
standing,0.6238151658767772,0.7124492557510149,0.6651926721415035,2956.0
walking,0.8330623306233063,0.8270110304008609,0.8300256514108276,3717.0
running,0.7735109717868338,0.6467889908256881,0.7044967880085653,1526.0
cycling,0.8723168023686159,0.9196254389387437,0.8953466286799621,2563.0
nordic_walking,0.8902382064455862,0.6509562841530054,0.7520220950877885,2928.0
ascending_stairs,0.5392992424242424,0.6299778761061947,0.5811224489795919,1808.0
descending_stairs,0.5456161137440758,0.570631970260223,0.5578437310720775,1614.0
vacuum_cleaning,0.7884322678843226,0.7595307917888563,0.7737117251680359,2728.0
ironing,0.6588628762541806,0.7947821409359871,0.7204681214189931,3718.0
rope_jumping,0.30792377131394183,0.40288713910761154,0.3490619670267197,762.0
accuracy,0.7258518493989867,0.7258518493989867,0.7258518493989867,0.7258518493989867
macro avg,0.7023353359587725,0.6919823998758511,0.6928273823197402,30199.0
weighted avg,0.7402301234952842,0.7258518493989867,0.7287024702722347,30199.0
