,precision,recall,f1-score,support
lying,0.8715827338129496,0.8084751418084751,0.8388436904967976,2997.0
sitting,0.7059033989266548,0.6845940319222762,0.6950854324467148,2882.0
standing,0.6555082166768107,0.7286874154262517,0.6901634091637295,2956.0
walking,0.8488754799780581,0.8326607479149852,0.8406899361673231,3717.0
running,0.8166311300639659,0.752948885976409,0.7834981247869076,1526.0
cycling,0.8465845464725644,0.8849005072181038,0.8653185806943915,2563.0
nordic_walking,0.9170526315789473,0.7438524590163934,0.8214218366962097,2928.0
ascending_stairs,0.5756365451822266,0.6377212389380531,0.6050905274206245,1808.0
descending_stairs,0.5173148641449121,0.6016109045848823,0.5562875966771699,1614.0
vacuum_cleaning,0.7695086705202312,0.780791788856305,0.7751091703056768,2728.0
ironing,0.7471532091097308,0.7764927380311996,0.7615404906357162,3718.0
rope_jumping,0.48956884561891517,0.46194225721784776,0.475354490209318,762.0
accuracy,0.7527732706381006,0.7527732706381006,0.7527732706381006,0.7527732706381006
macro avg,0.7301100226738306,0.7245565097425986,0.7257002738083815,30199.0
weighted avg,0.7605049408357631,0.7527732706381006,0.7550166701703277,30199.0
