,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2423,367,83,1,15,0,2,3,0,52,51,0
sitting,201,1973,415,3,0,0,5,5,3,54,223,0
standing,150,286,2154,20,0,0,0,1,2,36,307,0
walking,0,1,47,3095,0,3,24,492,26,8,20,1
running,0,0,28,7,1149,2,4,26,26,1,24,259
cycling,0,6,14,1,0,2268,14,25,60,139,33,3
nordic_walking,0,15,21,71,1,31,2178,50,470,26,20,45
ascending_stairs,0,3,69,250,4,12,17,1153,244,21,24,11
descending_stairs,0,2,52,171,4,56,64,163,971,52,31,48
vacuum_cleaning,4,36,65,23,0,155,13,43,23,2130,236,0
ironing,2,106,338,4,0,132,1,0,2,246,2887,0
rope_jumping,0,0,0,0,234,20,53,42,50,3,8,352
