,precision,recall,f1-score,support
lying,0.9929651776292648,0.9651282051282051,0.9788488210818308,2925.0
sitting,0.7907869481765835,0.7147814018043026,0.7508656825223256,2882.0
standing,0.75,0.8017591339648173,0.7750163505559189,2956.0
walking,0.9579632918886916,0.8705945655098197,0.9121916842847075,3717.0
running,0.985996705107084,0.7844036697247706,0.8737226277372263,1526.0
cycling,0.9061239457279061,0.9641045649629341,0.9342155009451796,2563.0
nordic_walking,0.989202657807309,0.8135245901639344,0.8928035982008995,2928.0
ascending_stairs,0.6702508960573477,0.827433628318584,0.7405940594059406,1808.0
descending_stairs,0.6058661778185152,0.8190830235439901,0.6965226554267651,1614.0
vacuum_cleaning,0.8403132448076268,0.9046920821114369,0.871315092674316,2728.0
ironing,0.8764906303236797,0.8302850995158687,0.8527624309392265,3718.0
rope_jumping,0.743956043956044,0.899070385126162,0.8141912206855081,753.0
accuracy,0.8496248090842685,0.8496248090842685,0.8496248090842685,0.8496248090842685
macro avg,0.8424929766083377,0.8495716958229022,0.8410874770383203,30118.0
weighted avg,0.862795668359882,0.8496248090842685,0.8524570828505708,30118.0
