,precision,recall,f1-score,support
lying,0.9284531301755549,0.9352686019352686,0.9318484042553191,2997.0
sitting,0.8398190045248869,0.6439972241498959,0.7289866457187746,2882.0
standing,0.6133483525767389,0.7368064952638701,0.669432918395574,2956.0
walking,0.8729372937293729,0.8539144471347861,0.8633210934312525,3717.0
running,0.8558951965065502,0.7706422018348624,0.8110344827586207,1526.0
cycling,0.8747598924318094,0.8884120171673819,0.8815331010452961,2563.0
nordic_walking,0.9282886053673559,0.7206284153005464,0.8113824264564506,2928.0
ascending_stairs,0.5408749447635881,0.6769911504424779,0.6013264554163597,1808.0
descending_stairs,0.5054254711593376,0.5483271375464684,0.5260029717682021,1614.0
vacuum_cleaning,0.7326732673267327,0.7866568914956011,0.7587060279299982,2728.0
ironing,0.71866874674987,0.743410435718128,0.730830248545743,3718.0
rope_jumping,0.6075268817204301,0.5931758530183727,0.600265604249668,762.0
accuracy,0.7631047385675023,0.7631047385675023,0.7631047385675023,0.7631047385675023
macro avg,0.7515558989193521,0.7415192392506383,0.7428891983309381,30199.0
weighted avg,0.7766538604593256,0.7631047385675023,0.7660776655339658,30199.0
