,precision,recall,f1-score,support
lying,0.9175019275250579,0.8136752136752137,0.8624750860663164,2925.0
sitting,0.6642147848473704,0.6266481609993061,0.6448848419925013,2882.0
standing,0.6241855616366954,0.8102165087956699,0.705137641689975,2956.0
walking,0.9376716090060406,0.9187516814635459,0.9281152330479685,3717.0
running,0.7698924731182796,0.7038007863695938,0.7353646011639849,1526.0
cycling,0.87602382725242,0.9180647678501755,0.896551724137931,2563.0
nordic_walking,0.8918406072106262,0.6420765027322405,0.7466243050039714,2928.0
ascending_stairs,0.5998427672955975,0.8440265486725663,0.7012867647058824,1808.0
descending_stairs,0.5913361169102297,0.7019826517967782,0.6419263456090651,1614.0
vacuum_cleaning,0.9062974203338392,0.875733137829912,0.8907531692766593,2728.0
ironing,0.8179941002949852,0.7458310919849381,0.7802476083286438,3718.0
rope_jumping,0.631336405529954,0.545816733067729,0.5854700854700855,753.0
accuracy,0.7814263895344976,0.7814263895344976,0.7814263895344976,0.7814263895344976
macro avg,0.7690114667467579,0.7622186487698058,0.7599031172077488,30118.0
weighted avg,0.7964606639500854,0.7814263895344976,0.7834990094676764,30118.0
