,precision,recall,f1-score,support
lying,0.9745617050532829,0.9692307692307692,0.9718889269797737,2925.0
sitting,0.8089330024813896,0.6786953504510757,0.7381132075471698,2882.0
standing,0.7063878544829562,0.8342354533152909,0.7650069799906933,2956.0
walking,0.9874863982589771,0.976594027441485,0.9820100094684161,3717.0
running,0.9192452830188679,0.7981651376146789,0.8544370396352157,1526.0
cycling,0.9176252319109462,0.9648849005072181,0.9406618486116394,2563.0
nordic_walking,0.995279593318809,0.9361338797814208,0.9648011263639563,2928.0
ascending_stairs,0.815354713313897,0.9280973451327433,0.868080703569581,1808.0
descending_stairs,0.8436341161928307,0.845724907063197,0.8446782178217822,1614.0
vacuum_cleaning,0.8826855123674912,0.9156891495601173,0.8988844908240374,2728.0
ironing,0.8895076201641267,0.8162990855298548,0.8513323983169705,3718.0
rope_jumping,0.6759656652360515,0.8366533864541833,0.7477744807121661,753.0
accuracy,0.8807025698917591,0.8807025698917591,0.8807025698917591,0.8807025698917591
macro avg,0.8680555579833021,0.875033616006836,0.8689724524867835,30118.0
weighted avg,0.885492798385109,0.8807025698917591,0.8810186479708778,30118.0
