,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2835,40,22,2,0,2,0,2,0,3,19,0
sitting,61,1956,631,2,4,12,2,17,2,28,167,0
standing,1,313,2466,8,25,0,1,48,17,1,48,28
walking,0,0,7,3630,1,3,1,23,44,4,0,4
running,0,1,4,0,1218,21,0,25,40,4,5,208
cycling,0,6,7,0,3,2473,7,20,7,22,13,5
nordic_walking,10,11,16,19,13,11,2741,17,46,35,1,8
ascending_stairs,2,9,37,4,8,7,1,1678,32,9,11,10
descending_stairs,0,0,19,3,11,22,0,150,1365,2,3,39
vacuum_cleaning,0,25,43,8,0,14,0,31,0,2498,109,0
ironing,0,57,239,0,0,126,0,37,1,223,3035,0
rope_jumping,0,0,0,0,42,4,1,10,64,1,1,630
