,precision,recall,f1-score,support
lying,0.976482617586912,0.9794871794871794,0.9779825908858167,2925.0
sitting,0.8109259976753197,0.7262317834836919,0.766245652571847,2882.0
standing,0.7410551849605822,0.8267929634641408,0.7815797889350815,2956.0
walking,0.9230769230769231,0.9717514124293786,0.9467889908256881,3717.0
running,0.9060317460317461,0.935124508519004,0.9203482747500806,1526.0
cycling,0.8835443037974684,0.9531798673429575,0.9170420420420421,2563.0
nordic_walking,0.967391304347826,0.9118852459016393,0.9388185654008439,2928.0
ascending_stairs,0.8888888888888888,0.8539823008849557,0.8710860366713681,1808.0
descending_stairs,0.7949438202247191,0.8767038413878563,0.8338243959929287,1614.0
vacuum_cleaning,0.9394059405940594,0.8695014662756598,0.9031029887683228,2728.0
ironing,0.9150363331470095,0.8805809575040344,0.8974780701754386,3718.0
rope_jumping,0.9241071428571429,0.8247011952191236,0.871578947368421,753.0
accuracy,0.8891692675476459,0.8891692675476459,0.8891692675476459,0.8891692675476459
macro avg,0.8892408502657164,0.8841602268249685,0.8854896953656567,30118.0
weighted avg,0.8913405363528984,0.8891692675476459,0.8891585782467433,30118.0
