,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2865,18,19,3,0,4,0,5,0,3,8,0
sitting,59,2093,542,11,0,0,2,9,0,31,135,0
standing,0,367,2444,13,0,14,2,33,17,2,64,0
walking,0,1,4,3612,15,8,20,28,28,1,0,0
running,0,1,10,0,1427,25,4,7,38,1,0,13
cycling,0,0,4,0,9,2443,18,6,55,23,5,0
nordic_walking,0,7,7,165,8,29,2670,2,39,0,0,1
ascending_stairs,5,11,28,44,14,25,6,1544,102,7,6,16
descending_stairs,3,2,19,11,39,17,16,69,1415,1,1,21
vacuum_cleaning,1,28,46,54,0,74,22,22,24,2372,85,0
ironing,1,53,175,0,0,116,0,10,5,84,3274,0
rope_jumping,0,0,0,0,63,10,0,2,57,0,0,621
