,precision,recall,f1-score,support
lying,0.8345686332641565,0.9392726059392726,0.8838304552590267,2997.0
sitting,0.7658067779463834,0.5253296321998612,0.6231734924881663,2882.0
standing,0.600956937799043,0.4248985115020298,0.49782005548949665,2956.0
walking,0.8485056681552731,0.6645143933279527,0.7453228726614364,3717.0
running,0.9719806763285024,0.6592398427260813,0.7856306130417805,1526.0
cycling,0.7826680313886045,0.8950448692937963,0.8350928285402257,2563.0
nordic_walking,0.8104765369225173,0.7609289617486339,0.7849216135282719,2928.0
ascending_stairs,0.7525606469002696,0.7721238938053098,0.7622167622167623,1808.0
descending_stairs,0.3571192599933928,0.6697645600991325,0.4658478776125835,1614.0
vacuum_cleaning,0.5403225806451613,0.6876832844574781,0.6051612903225806,2728.0
ironing,0.6615384615384615,0.7170521785906401,0.6881775942178626,3718.0
rope_jumping,0.732977303070761,0.7204724409448819,0.7266710787557908,762.0
accuracy,0.7003874300473526,0.7003874300473526,0.7003874300473526,0.7003874300473526
macro avg,0.7216234594960439,0.7030270978862557,0.7003222111778321,30199.0
weighted avg,0.7261838611014151,0.7003874300473526,0.7025870670817372,30199.0
