,precision,recall,f1-score,support
lying,0.9627023223082336,0.9107856191744341,0.9360246322271639,1502.0
sitting,0.7437223042836041,0.6978516978516979,0.7200572041473007,1443.0
standing,0.656479909451047,0.7837837837837838,0.7145056975669849,1480.0
walking,0.8085688240656336,0.9532509403546481,0.8749691738594328,1861.0
running,0.9506849315068493,0.9071895424836601,0.928428093645485,765.0
cycling,0.9127773527161438,0.9284046692607004,0.9205246913580247,1285.0
nordic_walking,0.9434250764525994,0.8411724608043627,0.8893693693693694,1467.0
ascending_stairs,0.8079231692677071,0.7411894273127754,0.7731188971855255,908.0
descending_stairs,0.7855973813420621,0.591861898890259,0.6751054852320675,811.0
vacuum_cleaning,0.8484848484848485,0.717948717948718,0.7777777777777778,1365.0
ironing,0.7317757009345794,0.8414830736163353,0.7828042989252687,1861.0
rope_jumping,0.9354838709677419,0.7591623036649214,0.838150289017341,382.0
accuracy,0.8208195637805684,0.8208195637805684,0.8208195637805684,0.8208195637805684
macro avg,0.8406354743150874,0.8061736779288579,0.8192363008593118,15130.0
weighted avg,0.8280098763420414,0.8208195637805684,0.820667916561725,15130.0
