,precision,recall,f1-score,support
lying,0.93812375249501,0.9387483355525965,0.9384359400998337,1502.0
sitting,0.843562874251497,0.781011781011781,0.8110831234256927,1443.0
standing,0.771117166212534,0.7648648648648648,0.76797829036635,1480.0
walking,0.9303482587064676,0.9043524986566363,0.9171662125340599,1861.0
running,0.9712328767123287,0.9267973856209151,0.948494983277592,765.0
cycling,0.8760393046107332,0.9019455252918288,0.8888036809815951,1285.0
nordic_walking,0.9390756302521008,0.9141104294478528,0.9264248704663213,1467.0
ascending_stairs,0.7258215962441315,0.8513215859030837,0.7835783071464775,908.0
descending_stairs,0.7608695652173914,0.6473489519112207,0.6995336442371752,811.0
vacuum_cleaning,0.7850274725274725,0.8373626373626374,0.8103509393831975,1365.0
ironing,0.8209030948756976,0.8694250403009135,0.8444676409185804,1861.0
rope_jumping,0.9373219373219374,0.8612565445026178,0.897680763983629,382.0
accuracy,0.8558493060145407,0.8558493060145407,0.8558493060145407,0.8558493060145407
macro avg,0.8582869607856085,0.8498787983689126,0.8528331997350421,15130.0
weighted avg,0.8578131918262316,0.8558493060145407,0.8558865069305187,15130.0
