,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,1410,8,40,3,0,0,0,3,0,17,21,0
sitting,35,1127,135,0,4,9,0,3,0,28,102,0
standing,52,143,1132,26,4,0,12,2,0,20,89,0
walking,1,0,18,1683,3,8,23,81,28,13,2,1
running,0,0,12,1,709,2,5,9,11,3,7,6
cycling,0,8,0,1,0,1159,5,5,25,72,10,0
nordic_walking,0,7,6,35,0,5,1341,29,17,6,17,4
ascending_stairs,2,1,32,21,0,6,15,773,40,7,7,4
descending_stairs,0,2,25,32,6,19,21,137,525,30,7,7
vacuum_cleaning,0,6,21,7,0,65,1,16,17,1143,89,0
ironing,3,34,47,0,0,49,0,0,1,109,1618,0
rope_jumping,0,0,0,0,4,1,5,7,26,8,2,329
