feature,importance
chest_acc16_y_max,0.03333968192262964
ankle_acc16_x_mad,0.027027792652652826
ankle_acc16_x_energy,0.02698517287624061
chest_acc16_y_std,0.02581585189715957
ankle_acc16_x_rms,0.021532857113893775
chest_acc16_y_min,0.02072795814197799
ankle_acc16_x_mean,0.02056649783846545
hand_acc16_y_energy,0.020548869988967676
chest_acc16_y_mad,0.019801817506297087
heart_rate_fft_energy,0.01832144586413911
ankle_acc16_x_fft_energy,0.018300453583995114
hand_acc16_y_fft_energy,0.017772849746908237
hand_acc16_y_rms,0.01756165917639525
ankle_acc16_y_std,0.017223742149005825
ankle_acc16_y_mad,0.017128788903302848
chest_acc16_y_rms,0.017002936579482528
ankle_acc16_x_iqr,0.016627274521881025
heart_rate_rms,0.016408923251986333
chest_acc16_y_iqr,0.0160899931241241
heart_rate_energy,0.015807330614032777
heart_rate_median,0.015273750356082626
chest_acc16_y_energy,0.0148355162540934
ankle_acc16_x_std,0.014460321445747774
heart_rate_max,0.014191034324176026
ankle_acc16_x_max,0.013934519677464419
chest_acc16_z_median,0.013920666084643601
heart_rate_mean,0.013726276947252517
hand_acc16_y_std,0.013693724131659384
hand_acc16_y_mad,0.012749943069447297
ankle_acc16_x_median,0.012522062966748895
heart_rate_min,0.012356285250480046
chest_acc16_z_mean,0.012080140590621197
hand_acc16_y_iqr,0.011941540714192563
ankle_acc16_z_std,0.01114463568695047
ankle_acc16_x_min,0.010401938826354505
hand_acc16_x_max,0.010172696858075822
chest_acc16_z_fft_energy,0.010145133741787448
hand_acc16_x_mean,0.009865162204807668
hand_acc16_x_median,0.009725603134251354
chest_acc16_y_mean,0.009540307845898731
hand_acc16_x_fft_energy,0.009438389512512175
chest_acc16_y_fft_energy,0.009341948188772844
ankle_acc16_y_max,0.009310332516684512
hand_acc16_z_mean,0.00891749001473631
chest_acc16_y_median,0.008873051403512905
hand_acc16_x_iqr,0.008800161238872999
hand_acc16_x_rms,0.008731026845367224
chest_acc16_z_min,0.008256862124300074
hand_acc16_x_energy,0.008016969758669635
chest_acc16_z_energy,0.007878262214860796
hand_acc16_z_median,0.0077227311351928665
ankle_acc16_y_min,0.00761548634070605
chest_acc16_z_rms,0.0075221381393970775
chest_acc16_z_max,0.007312365605507311
hand_acc16_x_mad,0.007301866082924669
ankle_acc16_z_min,0.007088546709435679
hand_acc16_x_std,0.006863585101440324
ankle_acc16_z_mad,0.006862551938257136
hand_acc16_x_min,0.006755991538682939
ankle_acc16_y_energy,0.006297800992878313
hand_acc16_y_max,0.006262980774958664
hand_acc16_z_fft_energy,0.0059618679053852095
ankle_acc16_y_fft_energy,0.005676586654421774
ankle_acc16_y_iqr,0.005601615391011289
hand_acc16_z_energy,0.00559901704901831
ankle_acc16_y_rms,0.005467252454583779
hand_acc16_z_max,0.0053610111169065154
