dataset,feature_set,window_type,window_size,stride,protocol,model_family,model,fold,test_subject,seed,n_train,n_test,fit_predict_sec,label_encoding_note,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
pamap2,acc16_hr,non_overlapping,128,128,loso,baselines,random_forest,1,101,42,,1946,,reconstructed_from_existing_predictions,0.7872559095580678,0.7807783901729919,0.7712934629785594,0.7753528424857912,0.789929038301723,0.7807783901729919
pamap2,acc16_hr,non_overlapping,128,128,loso,baselines,random_forest,2,102,42,,2051,,reconstructed_from_existing_predictions,0.8395904436860068,0.8297992217623186,0.8275518327354067,0.8352705291982143,0.8669164443563679,0.8297992217623186
pamap2,acc16_hr,non_overlapping,128,128,loso,baselines,random_forest,3,103,42,,1357,,reconstructed_from_existing_predictions,0.8975681650700074,0.9052975717871765,0.651033974422495,0.9064186500233251,0.6670700033226118,0.6381382942220858
pamap2,acc16_hr,non_overlapping,128,128,loso,baselines,random_forest,4,104,42,,1804,,reconstructed_from_existing_predictions,0.761640798226164,0.7762811892936102,0.6286041045815056,0.7552269674565013,0.652635861773291,0.6377656160452332
pamap2,acc16_hr,non_overlapping,128,128,loso,baselines,random_forest,5,105,42,,2121,,reconstructed_from_existing_predictions,0.892032060348892,0.8803609850917081,0.8844782487548387,0.893431624004712,0.8929465819975574,0.8803609850917081
pamap2,acc16_hr,non_overlapping,128,128,loso,baselines,random_forest,6,106,42,,1948,,reconstructed_from_existing_predictions,0.8547227926078029,0.7822918633834924,0.7732839935006393,0.8567720275467848,0.779317887798209,0.7822918633834924
pamap2,acc16_hr,non_overlapping,128,128,loso,baselines,random_forest,7,107,42,,1813,,reconstructed_from_existing_predictions,0.897407611693326,0.8751169814512999,0.8103695327359811,0.8979713652962565,0.8302028468652769,0.800558457034699
pamap2,acc16_hr,non_overlapping,128,128,loso,baselines,random_forest,8,108,42,,2041,,reconstructed_from_existing_predictions,0.9201371876531113,0.898944026673342,0.9009651864680656,0.9223746430831797,0.9091780837650995,0.898944026673342
pamap2,acc16_hr,non_overlapping,128,128,loso,baselines,random_forest,9,109,42,,49,,reconstructed_from_existing_predictions,0.8367346938775511,1.0,0.18222222222222223,0.9111111111111111,0.2,0.1673469387755102
pamap2,acc16_hr,non_overlapping,128,128,loso,baselines,knn_k5,1,101,42,,1946,,reconstructed_from_existing_predictions,0.8062692702980473,0.7989979583256922,0.7988744167892873,0.8037128209995894,0.8122611083152496,0.7989979583256922
pamap2,acc16_hr,non_overlapping,128,128,loso,baselines,knn_k5,2,102,42,,2051,,reconstructed_from_existing_predictions,0.8210628961482204,0.8063564224344502,0.8175433105372617,0.8183543779456036,0.8562895147075449,0.8063564224344502
pamap2,acc16_hr,non_overlapping,128,128,loso,baselines,knn_k5,3,103,42,,1357,,reconstructed_from_existing_predictions,0.8061901252763449,0.8092220018508118,0.5405789903778295,0.8139408030440727,0.5608349366579574,0.5303151639625634
pamap2,acc16_hr,non_overlapping,128,128,loso,baselines,knn_k5,4,104,42,,1804,,reconstructed_from_existing_predictions,0.8032150776053215,0.8026219481300746,0.6699089642593167,0.8063968075458887,0.6921783964664758,0.6615833749044435
pamap2,acc16_hr,non_overlapping,128,128,loso,baselines,knn_k5,5,105,42,,2121,,reconstructed_from_existing_predictions,0.8241395568128241,0.8024280177682391,0.8130338106911311,0.8233461858254614,0.8384953035318552,0.8024280177682391
pamap2,acc16_hr,non_overlapping,128,128,loso,baselines,knn_k5,6,106,42,,1948,,reconstructed_from_existing_predictions,0.8506160164271047,0.7762014628798158,0.777338739817886,0.8518122619887633,0.7854932987632881,0.7762014628798158
pamap2,acc16_hr,non_overlapping,128,128,loso,baselines,knn_k5,7,107,42,,1813,,reconstructed_from_existing_predictions,0.8549365692222836,0.8208931353607752,0.7670135688633352,0.8537864158489301,0.8057431718075567,0.7517914928515497
pamap2,acc16_hr,non_overlapping,128,128,loso,baselines,knn_k5,8,108,42,,2041,,reconstructed_from_existing_predictions,0.8005879470847623,0.7827142634620339,0.79126520403072,0.799877995987691,0.8207512102164438,0.7827142634620339
pamap2,acc16_hr,non_overlapping,128,128,loso,baselines,knn_k5,9,109,42,,49,,reconstructed_from_existing_predictions,0.6938775510204082,1.0,0.13654618473895583,0.819277108433735,0.16666666666666666,0.11564625850340136
