,precision,recall,f1-score,support
lying,0.9807407407407407,0.8835502168835502,0.9296120765315078,2997.0
sitting,0.6193684210526316,0.5104094378903539,0.5596347726840404,2882.0
standing,0.7805741250491546,0.6715155615696887,0.7219494453537006,2956.0
walking,0.6837284482758621,0.6828087167070218,0.6832682729842509,3717.0
running,0.7119845360824743,0.7241153342070773,0.7179987004548408,1526.0
cycling,0.7995735607675906,0.8778774873195474,0.8368978984563883,2563.0
nordic_walking,0.7857935627081021,0.48360655737704916,0.5987315010570825,2928.0
ascending_stairs,0.3195242001640689,0.43086283185840707,0.36693358455016484,1808.0
descending_stairs,0.3489841986455982,0.47893432465923175,0.4037607730477932,1614.0
vacuum_cleaning,0.545813363405695,0.7096774193548387,0.6170517928286853,2728.0
ironing,0.5927515498330949,0.6686390532544378,0.628412537917088,3718.0
rope_jumping,0.6351791530944625,0.2559055118110236,0.3648269410664172,762.0
accuracy,0.6484320672869962,0.6484320672869962,0.6484320672869962,0.6484320672869962
macro avg,0.6503346549849564,0.6148252044076856,0.6190898580776633,30199.0
weighted avg,0.6731179978839589,0.6484320672869962,0.6516528941220607,30199.0
