,precision,recall,f1-score,support
lying,0.9185136897001304,0.9402736069402736,0.9292662819455895,2997.0
sitting,0.8041930379746836,0.705412907702984,0.7515711645101664,2882.0
standing,0.7428364163946318,0.6928281461434371,0.7169613162961667,2956.0
walking,0.8292066700353714,0.8829701372074253,0.8552442996742671,3717.0
running,0.9548440065681445,0.7621231979030144,0.847667638483965,1526.0
cycling,0.8363636363636363,0.8794381584081155,0.8573602130087485,2563.0
nordic_walking,0.9103697749196141,0.7735655737704918,0.8364106351550961,2928.0
ascending_stairs,0.7573684210526316,0.7959070796460177,0.7761596548004315,1808.0
descending_stairs,0.5878594249201278,0.6840148698884758,0.6323024054982818,1614.0
vacuum_cleaning,0.7171074656846335,0.7851906158357771,0.7496062992125985,2728.0
ironing,0.7747279920870426,0.8426573426573427,0.8072661685132698,3718.0
rope_jumping,0.8421828908554573,0.7493438320209974,0.7930555555555555,762.0
accuracy,0.8030729494354117,0.8030729494354117,0.8030729494354117,0.8030729494354117
macro avg,0.806297785546342,0.7911437890103628,0.7960726360545114,30199.0
weighted avg,0.8083475803413809,0.8030729494354117,0.8034626281811673,30199.0
