,precision,recall,f1-score,support
lying,0.8341375150784077,0.9229229229229229,0.8762870267701568,2997.0
sitting,0.66388557806913,0.5798056904927134,0.6190035191702167,2882.0
standing,0.6788186432856483,0.4976319350473613,0.574272886980285,2956.0
walking,0.7640077284018769,0.7446865751950498,0.7542234332425068,3717.0
running,0.8243626062322946,0.762778505897772,0.7923757658270932,1526.0
cycling,0.7873352855051244,0.8392508778774873,0.8124645892351274,2563.0
nordic_walking,0.8408541498791298,0.7127732240437158,0.7715341959334565,2928.0
ascending_stairs,0.601063829787234,0.6875,0.6413828689370485,1808.0
descending_stairs,0.4664099272571673,0.6753407682775713,0.5517590483421918,1614.0
vacuum_cleaning,0.6150296638101516,0.6840175953079178,0.6476917736896911,2728.0
ironing,0.7174200370076659,0.7299623453469607,0.7236368484202106,3718.0
rope_jumping,0.7266483516483516,0.6942257217847769,0.7100671140939597,762.0
accuracy,0.7126063776946256,0.7126063776946256,0.7126063776946256,0.7126063776946256
macro avg,0.7099977763301819,0.7109080135161875,0.7062249225534954,30199.0
weighted avg,0.7197574529185272,0.7126063776946256,0.7122877988133278,30199.0
