,precision,recall,f1-score,support
lying,0.9539033457249071,0.8561895228561895,0.9024090029892737,2997.0
sitting,0.8099211868335652,0.6061762664816099,0.6933915459416551,2882.0
standing,0.5738396624472574,0.6441136671177267,0.6069493146318138,2956.0
walking,0.9071911493546404,0.7941888619854721,0.8469373117199828,3717.0
running,0.8212218649517685,0.8368283093053736,0.8289516390782213,1526.0
cycling,0.9253259581193204,0.9137729223566133,0.9195131527287004,2563.0
nordic_walking,0.9508126603934988,0.7592213114754098,0.8442840865932396,2928.0
ascending_stairs,0.4662379421221865,0.7217920353982301,0.5665291947037118,1808.0
descending_stairs,0.6730769230769231,0.563816604708798,0.6136210384356036,1614.0
vacuum_cleaning,0.8015503875968992,0.7580645161290323,0.7792012057272042,2728.0
ironing,0.6560069144338807,0.8165680473372781,0.7275341480948958,3718.0
rope_jumping,0.5937813440320963,0.7769028871391076,0.6731097214326321,762.0
accuracy,0.7590317560184112,0.7590317560184112,0.7590317560184112,0.7590317560184112
macro avg,0.761072444923912,0.75396957935757,0.7502026135064113,30199.0
weighted avg,0.784050601037471,0.7590317560184112,0.7648283120610362,30199.0
