,precision,recall,f1-score,support
lying,0.952695652173913,0.913913913913914,0.9329019073569482,2997.0
sitting,0.7509593246354567,0.6790423317140875,0.7131924198250729,2882.0
standing,0.6573306659045441,0.7780784844384303,0.7126258714175058,2956.0
walking,0.8205068588700303,0.9494215765402206,0.8802693938638064,3717.0
running,0.9510869565217391,0.9174311926605505,0.933955970647098,1526.0
cycling,0.9112718964204113,0.9336714787358564,0.9223357101560994,2563.0
nordic_walking,0.9449648711943794,0.826844262295082,0.8819672131147541,2928.0
ascending_stairs,0.793918918918919,0.7798672566371682,0.7868303571428571,1808.0
descending_stairs,0.7958199356913184,0.6133828996282528,0.6927921623512946,1614.0
vacuum_cleaning,0.8499573742540495,0.7309384164222874,0.785967678360268,2728.0
ironing,0.7350606909430439,0.8469607315761162,0.7870532366908273,3718.0
rope_jumping,0.9424342105263158,0.7519685039370079,0.8364963503649635,762.0
accuracy,0.8230404980297361,0.8230404980297361,0.8230404980297361,0.8230404980297361
macro avg,0.8421672796711767,0.8101267540415811,0.8221990226076247,30199.0
weighted avg,0.829690579521067,0.8230404980297361,0.8228724141473156,30199.0
