,precision,recall,f1-score,support
lying,0.9319464033850494,0.8818818818818819,0.9062232127550146,2997.0
sitting,0.7721224218230206,0.8053435114503816,0.7883831521739131,2882.0
standing,0.7712443095599393,0.6877537212449256,0.727110157367668,2956.0
walking,0.838757034499633,0.9222491256389561,0.8785238339313173,3717.0
running,0.9515803631472763,0.9272608125819135,0.9392631928310654,1526.0
cycling,0.8722640832436311,0.9484978540772532,0.908785046728972,2563.0
nordic_walking,0.9161938018332606,0.7168715846994536,0.8043686529986588,2928.0
ascending_stairs,0.6739027843322322,0.7898230088495575,0.7272727272727273,1808.0
descending_stairs,0.7379912663755459,0.7329615861214375,0.735467827168169,1614.0
vacuum_cleaning,0.7619208657423064,0.8258797653958945,0.7926121372031663,2728.0
ironing,0.7801712234189451,0.7598171059709521,0.7698596539038016,3718.0
rope_jumping,0.8166449934980494,0.8241469816272966,0.8203788373612019,762.0
accuracy,0.8174773999139044,0.8174773999139044,0.8174773999139044,0.8174773999139044
macro avg,0.8187282959049075,0.8185405782949919,0.8165207026413062,30199.0
weighted avg,0.8211236316329079,0.8174773999139044,0.816989701434898,30199.0
