,precision,recall,f1-score,support
lying,0.9256469046839174,0.9429429429429429,0.9342148760330579,2997.0
sitting,0.8395061728395061,0.7786259541984732,0.807920792079208,2882.0
standing,0.7760196905766527,0.746617050067659,0.7610344827586207,2956.0
walking,0.9290502793296089,0.8948076405703524,0.9116075099355899,3717.0
running,0.9690721649484536,0.9239842726081258,0.9459912780945992,1526.0
cycling,0.8684704998121007,0.9016777214202107,0.8847626339969372,2563.0
nordic_walking,0.9466950959488273,0.9098360655737705,0.9278996865203761,2928.0
ascending_stairs,0.7138927097661623,0.8611725663716814,0.7806467786412635,1808.0
descending_stairs,0.7860326894502229,0.6555142503097894,0.7148648648648649,1614.0
vacuum_cleaning,0.7768255056564964,0.8306451612903226,0.8028343666961913,2728.0
ironing,0.8165905631659056,0.8657880580957504,0.8404699738903394,3718.0
rope_jumping,0.91268758526603,0.8779527559055118,0.8949832775919733,762.0
accuracy,0.8529090367230703,0.8529090367230703,0.8529090367230703,0.8529090367230703
macro avg,0.8550408217869901,0.8491303699462157,0.8506025434252518,30199.0
weighted avg,0.855244820226702,0.8529090367230703,0.8528967977621266,30199.0
