,precision,recall,f1-score,support
lying,0.9689119170984456,0.8735402068735402,0.918757676785401,2997.0
sitting,0.8053342570142016,0.8067314365024288,0.8060322412896516,2882.0
standing,0.7383046078086528,0.7100811907983762,0.7239179168822211,2956.0
walking,0.9523809523809523,0.8931934355663169,0.9218381230043038,3717.0
running,0.729106628242075,0.8289646133682831,0.775835633241337,1526.0
cycling,0.8803636363636363,0.944596176355833,0.9113495200451722,2563.0
nordic_walking,0.9216892168921689,0.76775956284153,0.8377119433575554,2928.0
ascending_stairs,0.7650938609842719,0.834070796460177,0.7980947340566288,1808.0
descending_stairs,0.596144578313253,0.7664188351920694,0.6706424505285985,1614.0
vacuum_cleaning,0.7746671218846023,0.8317448680351907,0.8021919745448117,2728.0
ironing,0.798754599490518,0.7590102205486821,0.7783753964970349,3718.0
rope_jumping,0.6972909305064782,0.7769028871391076,0.7349472377405338,762.0
accuracy,0.8187026060465579,0.8187026060465579,0.8187026060465579,0.8187026060465579
macro avg,0.8023368589149379,0.8160845191401278,0.806641237331104,30199.0
weighted avg,0.8270071775624709,0.8187026060465579,0.8206626487236827,30199.0
