,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2648,137,76,3,0,0,0,0,2,77,54,0
sitting,34,1471,146,0,0,3,0,7,2,116,1103,0
standing,1,206,1985,1,0,0,0,28,1,498,236,0
walking,0,0,36,2538,0,67,47,695,302,26,6,0
running,0,0,28,20,1105,6,199,21,52,12,5,78
cycling,8,5,8,18,0,2250,11,18,95,125,25,0
nordic_walking,0,14,14,631,0,67,1416,388,331,57,9,1
ascending_stairs,1,6,45,243,6,62,34,779,548,55,12,17
descending_stairs,1,1,38,247,28,27,48,365,773,43,29,14
vacuum_cleaning,4,39,44,11,1,303,1,82,76,1936,229,2
ironing,3,496,123,0,0,28,1,1,0,580,2486,0
rope_jumping,0,0,0,0,412,1,45,54,33,22,0,195
