,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2818,27,65,0,1,3,2,6,1,36,38,0
sitting,3,2033,354,0,7,21,1,9,1,53,400,0
standing,219,318,2048,72,6,0,49,15,5,75,149,0
walking,0,2,23,3282,6,21,38,161,117,42,22,3
running,6,9,3,14,1163,8,13,6,238,2,16,48
cycling,0,17,0,0,0,2254,16,16,40,203,17,0
nordic_walking,0,12,15,472,2,9,2265,15,95,10,33,0
ascending_stairs,10,7,41,70,1,11,33,1439,112,54,17,13
descending_stairs,0,2,45,42,17,62,51,176,1104,56,22,37
vacuum_cleaning,5,19,54,4,0,229,6,41,42,2142,180,6
ironing,7,82,102,0,0,70,7,7,10,300,3133,0
rope_jumping,0,0,7,2,15,7,7,9,113,14,17,571
