,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2643,26,67,109,7,0,0,8,2,90,45,0
sitting,15,2321,246,0,3,19,7,8,4,34,206,19
standing,149,316,2033,7,0,1,73,55,14,63,243,2
walking,1,0,38,3428,0,2,24,107,63,36,10,8
running,2,1,28,4,1415,7,2,22,18,2,15,10
cycling,3,4,4,0,1,2431,12,24,20,43,17,4
nordic_walking,0,15,4,409,1,62,2099,240,48,17,14,19
ascending_stairs,9,10,43,70,10,2,18,1428,149,15,20,34
descending_stairs,1,15,40,34,16,36,25,170,1183,42,14,38
vacuum_cleaning,10,47,35,6,3,74,19,18,46,2253,212,5
ironing,3,251,98,8,1,149,7,6,12,356,2825,2
rope_jumping,0,0,0,12,30,4,5,33,44,6,0,628
