,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2618,31,72,0,209,0,0,4,2,21,39,1
sitting,23,2325,264,1,8,19,12,19,5,34,167,5
standing,53,308,2099,4,8,0,27,40,118,28,271,0
walking,0,1,35,3320,4,8,64,171,79,21,6,8
running,0,0,24,1,1265,6,2,20,18,11,9,170
cycling,0,2,4,2,5,2421,35,10,29,36,15,4
nordic_walking,0,12,19,52,77,9,2248,60,407,17,18,9
ascending_stairs,2,4,59,48,20,5,10,1508,90,29,12,21
descending_stairs,2,6,41,50,20,41,23,100,1237,54,13,27
vacuum_cleaning,3,45,44,8,6,103,11,24,44,2269,161,10
ironing,1,153,182,0,5,137,2,0,11,403,2822,2
rope_jumping,0,0,0,0,108,1,5,15,35,6,0,592
