feature,importance
heart_rate_min,0.12631614392446672
heart_rate_max,0.09263122557217525
heart_rate_rms,0.07896142327315236
heart_rate_energy,0.07579384789675929
heart_rate_fft_energy,0.07217441650363589
chest_acc16_y_max,0.046309114972791096
chest_acc16_y_rms,0.03478606195532325
heart_rate_mean,0.03463491727747731
hand_acc16_x_median,0.025400086287898513
hand_acc16_z_mean,0.02516114627635727
hand_acc16_x_mean,0.02485356820931808
ankle_acc16_x_mad,0.02473627207791955
hand_acc16_y_energy,0.02256003450672622
ankle_acc16_x_energy,0.02048213421861125
ankle_acc16_x_rms,0.020240291245343368
hand_acc16_y_rms,0.017076260132279107
chest_acc16_y_fft_energy,0.016993998257123014
hand_acc16_z_max,0.016566562850122774
hand_acc16_x_max,0.015596098718936672
chest_acc16_y_energy,0.015394653525930575
ankle_acc16_x_iqr,0.014589999245679814
chest_acc16_z_median,0.014579617201332487
chest_acc16_z_max,0.01432299823466195
chest_acc16_z_mean,0.01315309822594759
hand_acc16_y_fft_energy,0.012264593150793802
ankle_acc16_z_median,0.01202048625547593
chest_acc16_y_min,0.011286042087570326
ankle_acc16_x_mean,0.01053920335074515
chest_acc16_z_min,0.008919980478516346
heart_rate_median,0.008515887804691974
hand_acc16_z_median,0.0082386416974935
chest_acc16_y_std,0.008084108047859792
ankle_acc16_z_fft_energy,0.006942403372420034
hand_acc16_x_rms,0.0056962663440354375
ankle_acc16_z_mean,0.005541787182277176
ankle_acc16_z_rms,0.005287944844991575
ankle_acc16_z_energy,0.0052045096881315304
ankle_acc16_x_median,0.004989203292376999
hand_acc16_x_iqr,0.004434065514417395
ankle_acc16_x_fft_energy,0.004224806878532965
hand_acc16_x_energy,0.003972012873885592
chest_acc16_y_mad,0.003322205726448863
chest_acc16_z_energy,0.0030505695964905813
hand_acc16_x_fft_energy,0.0024893009481009925
chest_acc16_x_fft_energy,0.001662010274774566
chest_acc16_z_std,0.0
ankle_acc16_y_mean,0.0
hand_acc16_z_std,0.0
hand_acc16_y_std,0.0
hand_acc16_x_std,0.0
chest_acc16_x_mean,0.0
hand_acc16_y_mean,0.0
chest_acc16_y_mean,0.0
chest_acc16_x_std,0.0
hand_acc16_y_min,0.0
hand_acc16_x_min,0.0
heart_rate_std,0.0
ankle_acc16_z_std,0.0
ankle_acc16_y_std,0.0
ankle_acc16_x_std,0.0
chest_acc16_x_median,0.0
chest_acc16_y_median,0.0
chest_acc16_x_mad,0.0
hand_acc16_z_mad,0.0
hand_acc16_y_mad,0.0
hand_acc16_x_mad,0.0
ankle_acc16_y_median,0.0
ankle_acc16_z_max,0.0
ankle_acc16_x_max,0.0
ankle_acc16_y_max,0.0
ankle_acc16_y_rms,0.0
hand_acc16_z_rms,0.0
chest_acc16_x_rms,0.0
chest_acc16_z_rms,0.0
ankle_acc16_y_mad,0.0
chest_acc16_z_mad,0.0
heart_rate_mad,0.0
ankle_acc16_z_mad,0.0
hand_acc16_y_median,0.0
ankle_acc16_y_min,0.0
ankle_acc16_x_min,0.0
hand_acc16_z_min,0.0
chest_acc16_x_max,0.0
hand_acc16_y_max,0.0
ankle_acc16_z_min,0.0
chest_acc16_x_min,0.0
chest_acc16_z_iqr,0.0
chest_acc16_y_iqr,0.0
chest_acc16_x_iqr,0.0
hand_acc16_z_iqr,0.0
hand_acc16_y_iqr,0.0
hand_acc16_z_energy,0.0
chest_acc16_x_energy,0.0
ankle_acc16_y_energy,0.0
chest_acc16_y_skew,0.0
ankle_acc16_y_iqr,0.0
ankle_acc16_z_iqr,0.0
heart_rate_iqr,0.0
hand_acc16_x_skew,0.0
hand_acc16_y_skew,0.0
hand_acc16_z_skew,0.0
chest_acc16_x_skew,0.0
hand_acc16_z_kurtosis,0.0
chest_acc16_x_kurtosis,0.0
chest_acc16_y_kurtosis,0.0
chest_acc16_z_kurtosis,0.0
ankle_acc16_x_kurtosis,0.0
ankle_acc16_y_kurtosis,0.0
ankle_acc16_z_kurtosis,0.0
heart_rate_kurtosis,0.0
hand_acc16_x_slope,0.0
chest_acc16_z_skew,0.0
ankle_acc16_x_skew,0.0
ankle_acc16_y_skew,0.0
ankle_acc16_z_skew,0.0
heart_rate_skew,0.0
hand_acc16_x_kurtosis,0.0
hand_acc16_y_kurtosis,0.0
ankle_acc16_y_slope,0.0
ankle_acc16_x_slope,0.0
chest_acc16_z_slope,0.0
chest_acc16_y_slope,0.0
chest_acc16_x_slope,0.0
hand_acc16_z_slope,0.0
hand_acc16_y_slope,0.0
ankle_acc16_z_slope,0.0
chest_acc16_z_fft_energy,0.0
hand_acc16_z_fft_energy,0.0
heart_rate_slope,0.0
ankle_acc16_y_fft_energy,0.0
hand_acc16_x_fft_argmax,0.0
hand_acc16_y_fft_argmax,0.0
hand_acc16_z_fft_argmax,0.0
chest_acc16_x_fft_argmax,0.0
chest_acc16_y_fft_argmax,0.0
chest_acc16_z_fft_argmax,0.0
ankle_acc16_x_fft_argmax,0.0
ankle_acc16_y_fft_argmax,0.0
ankle_acc16_z_fft_argmax,0.0
heart_rate_fft_argmax,0.0
hand_acc16_x_entropy,0.0
hand_acc16_y_entropy,0.0
hand_acc16_z_entropy,0.0
chest_acc16_x_entropy,0.0
chest_acc16_y_entropy,0.0
chest_acc16_z_entropy,0.0
ankle_acc16_x_entropy,0.0
ankle_acc16_y_entropy,0.0
ankle_acc16_z_entropy,0.0
heart_rate_entropy,0.0
