feature,importance
chest_acc16_y_max,0.2201091733849302
chest_acc16_y_min,0.11315860130805579
hand_acc16_y_energy,0.08229767138966886
ankle_acc16_x_median,0.06744446072801102
ankle_acc16_x_mean,0.05036268511423587
chest_acc16_y_std,0.04844183201637703
hand_acc16_x_iqr,0.04751469725280254
ankle_acc16_x_iqr,0.03266854634465235
heart_rate_min,0.032194240187845405
hand_acc16_x_mean,0.03164155981180282
hand_acc16_z_mean,0.018915159616901416
ankle_acc16_x_min,0.015550296639483197
chest_acc16_z_min,0.015168154591756479
hand_acc16_x_rms,0.013956054404506726
heart_rate_max,0.009559453440186615
heart_rate_mean,0.009481282533656326
chest_acc16_z_fft_energy,0.009070674571543029
chest_acc16_x_rms,0.00760842211169311
heart_rate_rms,0.006507010365463266
chest_acc16_x_min,0.0062550945940393005
ankle_acc16_z_mean,0.005768479239343843
heart_rate_energy,0.0055679438790885005
chest_acc16_z_median,0.00554089477666898
chest_acc16_z_max,0.005490615443673368
ankle_acc16_y_skew,0.005262504262154138
hand_acc16_y_max,0.00497949066765502
chest_acc16_x_mean,0.004756140529916493
chest_acc16_z_mean,0.004561437087820754
chest_acc16_y_median,0.004225852070334071
hand_acc16_x_min,0.004205668999250344
hand_acc16_y_kurtosis,0.004134673942703697
hand_acc16_x_mad,0.003866386983536254
hand_acc16_z_min,0.0038200976659293943
ankle_acc16_z_iqr,0.00357896463919986
hand_acc16_x_fft_energy,0.0031282247048421545
hand_acc16_x_max,0.0029825642083338077
ankle_acc16_y_std,0.002974701165092292
ankle_acc16_y_fft_energy,0.002772795596730186
ankle_acc16_z_mad,0.002729863192982796
chest_acc16_z_kurtosis,0.00269575162467771
ankle_acc16_y_median,0.002666192274981977
hand_acc16_y_rms,0.002660715701633063
ankle_acc16_y_mean,0.0026261124161072137
hand_acc16_x_median,0.0025821626497982302
ankle_acc16_x_energy,0.0025228692966319643
ankle_acc16_y_iqr,0.0023580831657382464
chest_acc16_z_std,0.002343306240118861
hand_acc16_z_median,0.002290199772632479
chest_acc16_x_fft_energy,0.0022399801959944437
ankle_acc16_z_fft_energy,0.0021415253776788964
heart_rate_fft_energy,0.0021358454536947644
chest_acc16_x_median,0.0020809418842278183
hand_acc16_y_min,0.001966876501019073
heart_rate_slope,0.001875548878184126
ankle_acc16_z_median,0.001851288906263977
hand_acc16_y_mean,0.0018396959955788673
ankle_acc16_x_mad,0.0017364607231065959
heart_rate_median,0.001602489298232793
hand_acc16_z_rms,0.0014640632106890311
ankle_acc16_z_min,0.0014422335697695777
ankle_acc16_z_max,0.001426162226882221
hand_acc16_z_iqr,0.001386482835858647
ankle_acc16_y_max,0.0011791864199884967
ankle_acc16_x_fft_energy,0.001172510724435647
hand_acc16_y_std,0.001109368642466008
ankle_acc16_y_entropy,0.0010267876840971937
ankle_acc16_y_min,0.0010266356453984492
ankle_acc16_y_energy,0.0009421936527929404
hand_acc16_y_median,0.0009266838844648828
hand_acc16_y_iqr,0.0008631927457007085
hand_acc16_z_max,0.0008596003559503397
chest_acc16_y_skew,0.0007829158896719347
hand_acc16_y_mad,0.0007561385344203178
chest_acc16_z_rms,0.0007246182870452148
chest_acc16_y_mad,0.0007058710794112764
chest_acc16_z_iqr,0.0006947480411455045
ankle_acc16_x_rms,0.0006523647625333353
chest_acc16_z_energy,0.0006489444073702989
ankle_acc16_x_entropy,0.0006376314205685937
ankle_acc16_x_std,0.0006020339880227977
