feature,importance
chest_acc16_y_max,0.03268649033699823
ankle_acc16_x_energy,0.027548378251791964
ankle_acc16_x_mad,0.02579575917247371
chest_acc16_y_std,0.02503663413367412
chest_acc16_y_rms,0.02096454130212495
chest_acc16_y_min,0.02076807600059947
chest_acc16_y_mad,0.01964922181919099
ankle_acc16_x_mean,0.019359038589985736
hand_acc16_y_rms,0.01887524279834235
ankle_acc16_x_iqr,0.01841033553192859
ankle_acc16_y_mad,0.018293291365448012
ankle_acc16_x_rms,0.018068559125989855
heart_rate_rms,0.017923625025585734
hand_acc16_y_fft_energy,0.017838850469397403
heart_rate_energy,0.017562437325011424
hand_acc16_y_energy,0.01718218683595444
ankle_acc16_x_std,0.017173262430491203
ankle_acc16_y_std,0.016331340180174597
ankle_acc16_x_fft_energy,0.016326392385170415
chest_acc16_y_energy,0.016190643933747754
heart_rate_fft_energy,0.015764007516452502
heart_rate_mean,0.015445228597374454
hand_acc16_y_mad,0.014563491920514506
heart_rate_median,0.014475523414843558
heart_rate_max,0.013859375852679762
chest_acc16_y_iqr,0.01378669312913841
ankle_acc16_x_max,0.013412770312459844
heart_rate_min,0.013307951605186654
ankle_acc16_x_median,0.013242350802199583
hand_acc16_y_std,0.013135554741960754
chest_acc16_z_median,0.013024971822673072
hand_acc16_y_iqr,0.013016967767013237
ankle_acc16_x_min,0.012084627809924578
chest_acc16_y_fft_energy,0.011956205714873942
chest_acc16_z_mean,0.011259170398499876
hand_acc16_x_mean,0.010793777407990748
chest_acc16_y_mean,0.010369185817287291
chest_acc16_z_fft_energy,0.010114476133223952
hand_acc16_x_rms,0.009668982799165483
hand_acc16_x_max,0.00953706546568402
hand_acc16_x_median,0.009323083613042744
ankle_acc16_y_max,0.008947496542863146
chest_acc16_z_energy,0.008928740932835922
hand_acc16_z_mean,0.008921998645901569
ankle_acc16_z_std,0.00855747657842764
chest_acc16_z_min,0.008550974812816126
hand_acc16_z_median,0.00830183730175622
chest_acc16_z_max,0.008293047366076467
hand_acc16_x_iqr,0.008206918392956402
ankle_acc16_y_min,0.008048602338654563
hand_acc16_x_fft_energy,0.007991032928832353
hand_acc16_x_energy,0.007607671481058936
hand_acc16_y_max,0.0073851922673465326
chest_acc16_z_rms,0.007129953460072002
hand_acc16_x_mad,0.007076263541413816
chest_acc16_y_median,0.0070072611610786754
ankle_acc16_y_iqr,0.006825268456629741
ankle_acc16_z_mad,0.006809769452412773
hand_acc16_x_min,0.006754317433204686
hand_acc16_z_energy,0.006191042967257827
ankle_acc16_y_energy,0.006094138147464756
ankle_acc16_y_rms,0.005759804820174421
ankle_acc16_z_min,0.005720250144579022
ankle_acc16_y_fft_energy,0.005681700839097929
hand_acc16_x_std,0.0056695931544258555
hand_acc16_y_kurtosis,0.005466265601270847
hand_acc16_z_max,0.005461391963634142
hand_acc16_z_fft_energy,0.005405121700667177
ankle_acc16_z_max,0.005026364313132014
chest_acc16_x_std,0.004776839248819566
hand_acc16_z_rms,0.004715988352340126
ankle_acc16_y_median,0.004319839192798143
chest_acc16_z_std,0.0040865687906017165
chest_acc16_x_mad,0.003981168950676665
hand_acc16_z_min,0.0039050514138286724
chest_acc16_z_mad,0.0038548666443047426
hand_acc16_z_std,0.0037979000036067454
hand_acc16_z_mad,0.0037661947474414395
hand_acc16_y_mean,0.0037514268555113033
hand_acc16_z_iqr,0.0035840722921861735
chest_acc16_x_mean,0.0034868229159706497
hand_acc16_y_entropy,0.0034572145382497604
ankle_acc16_y_skew,0.003380615096237664
hand_acc16_z_entropy,0.0033651482412760153
chest_acc16_x_fft_energy,0.003325285764677493
chest_acc16_x_rms,0.0032804434357758603
chest_acc16_x_iqr,0.0030561049307895193
chest_acc16_x_energy,0.0029716219708724695
chest_acc16_x_min,0.0028685051141452526
ankle_acc16_y_mean,0.0028378044994485517
hand_acc16_y_median,0.0027304953361901203
hand_acc16_z_kurtosis,0.0027136531853869045
chest_acc16_x_median,0.0026861570841892712
ankle_acc16_z_mean,0.0025941221834805224
ankle_acc16_z_energy,0.002592435452431084
ankle_acc16_x_kurtosis,0.0024837518738047505
ankle_acc16_y_fft_argmax,0.0023895356574520233
chest_acc16_z_iqr,0.002381574210700397
ankle_acc16_z_iqr,0.0023658879807210054
ankle_acc16_x_entropy,0.002347079311851818
ankle_acc16_z_rms,0.002279739793658378
ankle_acc16_z_fft_energy,0.0021876951798737772
ankle_acc16_z_median,0.0019907467436204814
hand_acc16_y_min,0.0019557452897843177
chest_acc16_z_kurtosis,0.0019431148804427087
ankle_acc16_y_entropy,0.0016729333844495587
heart_rate_slope,0.0016544790268293028
chest_acc16_x_max,0.0015927948757867253
ankle_acc16_y_kurtosis,0.001468867350083141
hand_acc16_y_skew,0.00132710502506906
chest_acc16_z_entropy,0.0012403558766681119
chest_acc16_z_skew,0.0011469967084112998
ankle_acc16_x_skew,0.0010547911377952125
chest_acc16_y_skew,0.0010425205186492016
hand_acc16_z_skew,0.0010213137283530346
chest_acc16_y_kurtosis,0.0009305870322450931
ankle_acc16_z_entropy,0.0008446759710971004
chest_acc16_y_entropy,0.0007552120427964158
ankle_acc16_z_kurtosis,0.0006649693040732536
ankle_acc16_z_skew,0.0005373662861665524
hand_acc16_x_kurtosis,0.0005223765343920741
hand_acc16_x_skew,0.0005162972157460267
chest_acc16_x_kurtosis,0.000495598582594722
hand_acc16_x_entropy,0.00048301892077564615
chest_acc16_x_skew,0.00047920528238267276
chest_acc16_z_fft_argmax,0.0004538131716600401
chest_acc16_x_entropy,0.0004440943488769099
heart_rate_std,0.00044371863042109023
chest_acc16_z_slope,0.00042123746855454004
chest_acc16_y_slope,0.00039590367629640985
hand_acc16_x_slope,0.0003836780035358677
heart_rate_mad,0.0003807316242132311
heart_rate_entropy,0.00035847664764148096
hand_acc16_z_slope,0.00035013138002302666
ankle_acc16_y_slope,0.0003421026907654035
ankle_acc16_z_slope,0.000339017098401743
chest_acc16_x_slope,0.0003376232007758671
ankle_acc16_x_slope,0.00032046478493488826
hand_acc16_y_slope,0.00031285494861194415
chest_acc16_x_fft_argmax,0.00029052309367937556
hand_acc16_z_fft_argmax,0.0002075311938226576
heart_rate_kurtosis,0.0001812602242584041
heart_rate_skew,0.0001589073509823764
heart_rate_iqr,0.0001104210089260507
ankle_acc16_z_fft_argmax,7.595943786967933e-05
hand_acc16_x_fft_argmax,4.4534039073634394e-05
hand_acc16_y_fft_argmax,3.553000833465765e-05
chest_acc16_y_fft_argmax,3.2820881470746517e-06
ankle_acc16_x_fft_argmax,2.555103719287467e-07
heart_rate_fft_argmax,0.0
