dataset,feature_set,window_type,window_size,stride,protocol,model_family,model,fold,test_subject,seed,n_train,n_test,fit_predict_sec,label_encoding_note,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
pamap2,acc16_hr,overlapping,128,64,loso,baselines,random_forest,1,101,42,,3883,,reconstructed_from_existing_predictions,0.7746587689930466,0.7697908722523743,0.7568456652632939,0.7602648433004001,0.7790450223784626,0.7697908722523743
pamap2,acc16_hr,overlapping,128,64,loso,baselines,random_forest,2,102,42,,4095,,reconstructed_from_existing_predictions,0.8241758241758241,0.8143135426321462,0.8091207946905379,0.8187491494465287,0.8550644290373239,0.8143135426321462
pamap2,acc16_hr,overlapping,128,64,loso,baselines,random_forest,3,103,42,,2708,,reconstructed_from_existing_predictions,0.9110044313146234,0.9117493692274785,0.7252591375176795,0.9170744368446788,0.739454672491231,0.7141852297140547
pamap2,acc16_hr,overlapping,128,64,loso,baselines,random_forest,4,104,42,,3599,,reconstructed_from_existing_predictions,0.7596554598499583,0.7733559652144586,0.6274965458620146,0.7530942720452629,0.6510730353112192,0.6369809966357806
pamap2,acc16_hr,overlapping,128,64,loso,baselines,random_forest,5,105,42,,4236,,reconstructed_from_existing_predictions,0.8954202077431539,0.885959675504655,0.8884028337631401,0.8968050405236523,0.8951161937212383,0.885959675504655
pamap2,acc16_hr,overlapping,128,64,loso,baselines,random_forest,6,106,42,,3887,,reconstructed_from_existing_predictions,0.853357344996141,0.7843656790968473,0.7744691234662614,0.8559180251226719,0.7815512612292114,0.7843656790968473
pamap2,acc16_hr,overlapping,128,64,loso,baselines,random_forest,7,107,42,,3617,,reconstructed_from_existing_predictions,0.8869228642521426,0.8701627528358459,0.8032710039486037,0.8885526973165907,0.8213333140039709,0.7955220066408709
pamap2,acc16_hr,overlapping,128,64,loso,baselines,random_forest,8,108,42,,4076,,reconstructed_from_existing_predictions,0.9259077526987243,0.9085703051494015,0.9091272800276397,0.9278460872884067,0.9140831432158621,0.9085703051494015
pamap2,acc16_hr,overlapping,128,64,loso,baselines,random_forest,9,109,42,,98,,reconstructed_from_existing_predictions,0.826530612244898,1.0,0.18100558659217877,0.9050279329608939,0.2,0.1653061224489796
pamap2,acc16_hr,overlapping,128,64,loso,baselines,knn_k5,1,101,42,,3883,,reconstructed_from_existing_predictions,0.8091681689415401,0.8033446958175304,0.8031975026717225,0.8068002079401839,0.8178856687528665,0.8033446958175304
pamap2,acc16_hr,overlapping,128,64,loso,baselines,knn_k5,2,102,42,,4095,,reconstructed_from_existing_predictions,0.8239316239316239,0.8115910351192297,0.8223616149593281,0.8216396959965803,0.8559573654333511,0.8115910351192297
pamap2,acc16_hr,overlapping,128,64,loso,baselines,knn_k5,3,103,42,,2708,,reconstructed_from_existing_predictions,0.8105612998522895,0.8131193046516766,0.5443931748341976,0.8185514844968822,0.565423775890657,0.5340205917098851
pamap2,acc16_hr,overlapping,128,64,loso,baselines,knn_k5,4,104,42,,3599,,reconstructed_from_existing_predictions,0.7949430397332592,0.7968767928836611,0.6626114953706196,0.7961879118299614,0.68082421555197,0.657549431134422
pamap2,acc16_hr,overlapping,128,64,loso,baselines,knn_k5,5,105,42,,4236,,reconstructed_from_existing_predictions,0.8368744098205855,0.8197217534665571,0.828298732474857,0.8357882500310305,0.8521171452293482,0.8197217534665571
pamap2,acc16_hr,overlapping,128,64,loso,baselines,knn_k5,6,106,42,,3887,,reconstructed_from_existing_predictions,0.8525855415487522,0.7796807432594489,0.7811061213572339,0.8533855834358116,0.7874578043984429,0.7796807432594489
pamap2,acc16_hr,overlapping,128,64,loso,baselines,knn_k5,7,107,42,,3617,,reconstructed_from_existing_predictions,0.86508155930329,0.8304617849586758,0.7740096465925091,0.8641569642828312,0.8050075842543071,0.761065854771338
pamap2,acc16_hr,overlapping,128,64,loso,baselines,knn_k5,8,108,42,,4076,,reconstructed_from_existing_predictions,0.7924435721295388,0.7776872898435944,0.7797713652112575,0.7894721305906938,0.809733757623718,0.7776872898435944
pamap2,acc16_hr,overlapping,128,64,loso,baselines,knn_k5,9,109,42,,98,,reconstructed_from_existing_predictions,0.6632653061224489,1.0,0.11393514460999123,0.7975460122699387,0.14285714285714285,0.09475218658892127
