dataset,eval_protocol,model,eval_unit,fold,fold_subject,test_subject,validation_subject,n_train_windows,n_val_windows,n_test_windows,n_test_windows_raw,n_train_eval_samples,n_val_eval_samples,n_test_eval_samples,n_test_predictions,n_test_classes,total_params,trainable_params,non_trainable_params,parameter_size_mb_float32,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,artifact_dir
pamap2,loso,cnn,window,1,101,101,102,22221,4095,3883,3883,22221,4095,3883,3883,12,300908,300908,0,1.1478729248046875,0.6569662631985578,0.6761717083433552,0.627121754694389,0.614153557595291,0.6762196359727705,0.6761717083433552,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,2,102,102,103,23396,2708,4095,4095,23396,2708,4095,4095,12,300908,300908,0,1.1478729248046875,0.6559218559218559,0.6754234998521297,0.6352003263325575,0.610705111281507,0.6946269877679851,0.6754234998521297,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,3,103,103,104,23892,3599,2708,2708,23892,3599,2708,2708,8,300908,300908,0,1.1478729248046875,0.8570901033973413,0.8310512589933337,0.5738172021011373,0.8731893857835267,0.6029886172223954,0.5540341726622225,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,4,104,104,105,22364,4236,3599,3599,22364,4236,3599,3599,10,300908,300908,0,1.1478729248046875,0.6326757432620173,0.6467872234322958,0.4925066868775128,0.597338168776177,0.5488693202576435,0.5389893528602465,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,5,105,105,106,22076,3887,4236,4236,22076,3887,4236,4236,12,300908,300908,0,1.1478729248046875,0.8482058545797923,0.8466960076530397,0.8466127058574128,0.8495747092227559,0.8563836386484499,0.8466960076530397,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,6,106,106,107,22695,3617,3887,3887,22695,3617,3887,3887,12,300908,300908,0,1.1478729248046875,0.8976074093130949,0.8394287513581457,0.8411993043147291,0.8967165842207444,0.8501182858056441,0.8394287513581457,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,7,107,107,108,22506,4076,3617,3617,22506,4076,3617,3617,11,300908,300908,0,1.1478729248046875,0.7879458114459497,0.7848704984566282,0.7171889563495761,0.7851404881475081,0.7658231946017171,0.7194646235852424,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,8,108,108,109,26025,98,4076,4076,26025,98,4076,4076,12,300908,300908,0,1.1478729248046875,0.3029931305201178,0.3304106685408021,0.2535697136744456,0.2538452061763769,0.4166692461139427,0.3304106685408021,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,cnn,window,9,109,109,101,26218,3883,98,98,26218,3883,98,98,1,300908,300908,0,1.1478729248046875,0.7959183673469388,0.7959183673469388,0.0738636363636363,0.8863636363636364,0.0833333333333333,0.0663265306122449,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,loso,gnn,window,1,101,101,102,22221,4095,3883,3883,22221,4095,3883,3883,12,10892,10892,0,0.0415496826171875,0.6299253154777235,0.6140563799866807,0.5819014857643524,0.5977462962552005,0.6351896136425086,0.6140563799866807,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn\window
