dataset,model,eval_unit,fold,test_subject,validation_subject,best_epoch,last_epoch,early_stop_metric,early_stop_mode,train_loss_at_best,val_loss_at_best,train_acc_at_best,val_acc_at_best,train_macro_f1_at_best,val_macro_f1_at_best,test_acc,test_macro_f1,test_balanced_accuracy,train_val_loss_gap_at_best,train_val_acc_gap_at_best,train_val_macro_f1_gap_at_best,val_test_macro_f1_gap,val_macro_f1_drop_best_to_last,overfit_risk_score,overfit_flag_f1_gap_gt_0_15,overfit_flag_val_drop_gt_0_10,overfit_flag_val_test_gap_gt_0_15,artifact_dir
pamap2,cnn,window,1,101,102,10,18,val_macro_f1,max,0.1177808940631908,1.8180972791125631,0.9623779307861932,0.6029304029304029,0.9620545827939788,0.6171832961592848,0.6569662631985578,0.627121754694389,0.6761717083433552,1.7003163850493723,0.3594475278557903,0.3448712866346939,-0.0099384585351042,0.1085179363536028,0.4533892229882967,True,True,False,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,cnn,window,2,102,103,8,16,val_macro_f1,max,0.1501332796889709,0.4138230472153481,0.9507608138143272,0.8936484490398818,0.946854721577323,0.591624975867988,0.6559218559218559,0.6352003263325575,0.6754234998521297,0.2636897675263772,0.0571123647744453,0.3552297457093349,-0.0435753504645695,0.0128491189108215,0.3680788646201565,True,False,False,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,cnn,window,3,103,104,2,10,val_macro_f1,max,0.3178625678509179,0.884477348522565,0.9039427423405324,0.7510419560989163,0.898740646332646,0.6076647847665436,0.8570901033973413,0.5738172021011373,0.8310512589933337,0.5666147806716471,0.152900786241616,0.2910758615661024,0.0338475826654063,0.0299146686629537,0.3548381128944625,True,False,False,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,cnn,window,4,104,105,10,18,val_macro_f1,max,0.1444079640155358,0.4693694327267756,0.9527365408692542,0.8663833805476865,0.950755631288122,0.8620147597172837,0.6326757432620173,0.4925066868775128,0.6467872234322958,0.3249614687112399,0.0863531603215677,0.0887408715708382,0.3695080728397709,0.0310997598615359,0.489348704272145,False,False,True,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,cnn,window,5,105,106,7,15,val_macro_f1,max,0.1725220582065731,0.4546900795889066,0.9450987497735096,0.8757396449704142,0.9433870647184937,0.800623007097641,0.8482058545797923,0.8466127058574128,0.8466960076530397,0.2821680213823335,0.0693591048030954,0.1427640576208526,-0.0459896987597717,0.1105581421164073,0.25332219973726,False,True,False,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,cnn,window,6,106,107,5,13,val_macro_f1,max,0.2161221922093956,0.668457827133501,0.9324080193875304,0.8194636439037877,0.9321814019634008,0.7422625302733156,0.8976074093130949,0.8411993043147291,0.8394287513581457,0.4523356349241053,0.1129443754837425,0.1899188716900851,-0.0989367740414135,0.0243292212095219,0.2142480928996071,True,False,False,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,cnn,window,7,107,108,8,16,val_macro_f1,max,0.1377837485094595,3.2900841370941496,0.9535679374389052,0.5870951913640824,0.9527074802857536,0.5518711652514418,0.7879458114459497,0.7171889563495761,0.7848704984566282,3.15230038858469,0.3664727460748228,0.4008363150343118,-0.1653177910981343,0.029939915656846,0.4307762306911579,True,False,False,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,cnn,window,8,108,109,16,24,val_macro_f1,max,0.1141916058987636,0.0865487679839134,0.96,0.9693877551020408,0.9580817109947474,0.0820379965457685,0.3029931305201178,0.2535697136744456,0.3304106685408021,-0.0276428379148502,-0.0093877551020408,0.8760437144489788,-0.1715317171286771,0.0008861640850355,0.8769298785340144,True,False,False,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,cnn,window,9,109,101,4,12,val_macro_f1,max,0.2230066735749568,1.3778074304939003,0.9312304523609732,0.7646149884110224,0.9286015299073848,0.7600859393671665,0.7959183673469388,0.0738636363636363,0.7959183673469388,1.1548007569189431,0.1666154639499509,0.1685155905402182,0.6862223030035302,0.0817725535475553,0.9365104470913036,True,False,True,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\cnn\window
pamap2,gnn,window,1,101,102,6,14,val_macro_f1,max,0.6844974666462371,0.7773149442323398,0.7892534089374915,0.7831501831501831,0.7493244675058319,0.7263153527156724,0.6299253154777235,0.5819014857643524,0.6140563799866807,0.0928174775861027,0.0061032257873083,0.0230091147901595,0.1444138669513199,0.1141685931245206,0.2815915748660001,False,True,False,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn\window
