,precision,recall,f1-score,support
lying,0.7925179856115108,0.918918918918919,0.8510506798516687,2997.0
sitting,0.640218878248974,0.4871616932685635,0.5533004926108375,2882.0
standing,0.6111842105263158,0.314276048714479,0.41510277033065235,2956.0
walking,0.8939592908732764,0.7325800376647834,0.8052639361230223,3717.0
running,0.9286274509803921,0.7758846657929227,0.8454123527311674,1526.0
cycling,0.8821576763485477,0.8294966835739368,0.8550170922984114,2563.0
nordic_walking,0.8411669367909238,0.7090163934426229,0.7694588584136397,2928.0
ascending_stairs,0.6981613891726252,0.7560840707964602,0.7259691980881572,1808.0
descending_stairs,0.3983387504514265,0.6833952912019826,0.5033082363677847,1614.0
vacuum_cleaning,0.5472533194480604,0.7705278592375366,0.6399756431724768,2728.0
ironing,0.6373493975903615,0.7114039806347499,0.6723436705643111,3718.0
rope_jumping,0.6096892138939671,0.8753280839895013,0.71875,762.0
accuracy,0.6980363588198285,0.6980363588198285,0.6980363588198285,0.6980363588198285
macro avg,0.7067187083280317,0.7136728106030382,0.6962460775460108,30199.0
weighted avg,0.7193329798211668,0.6980363588198285,0.6959869852486478,30199.0
