,precision,recall,f1-score,support
lying,0.8195697432338653,0.7881214547881215,0.8035380166695016,2997.0
sitting,0.6893712574850299,0.6391394864677308,0.6633057256031689,2882.0
standing,0.6016556291390729,0.61468200270636,0.60809906291834,2956.0
walking,0.7899070385126162,0.8001076136669357,0.7949746057203956,3717.0
running,0.781919111816019,0.6461336828309305,0.7075708647290994,1526.0
cycling,0.7589761820120867,0.833008193523215,0.7942708333333334,2563.0
nordic_walking,0.7851819377466024,0.6116803278688525,0.6876559800345555,2928.0
ascending_stairs,0.4524410774410774,0.5945796460176991,0.5138623326959847,1808.0
descending_stairs,0.5148401826484018,0.5588599752168525,0.5359477124183006,1614.0
vacuum_cleaning,0.7044673539518901,0.6763196480938416,0.6901066018328035,2728.0
ironing,0.6834443622008389,0.7450242065626681,0.7129069617809806,3718.0
rope_jumping,0.500709219858156,0.463254593175853,0.4812542603953647,762.0
accuracy,0.6904864399483427,0.6904864399483427,0.6904864399483427,0.6904864399483427
macro avg,0.6735402580038047,0.6642425692432551,0.6661244131776524,30199.0
weighted avg,0.6983149524111362,0.6904864399483427,0.6919181203691377,30199.0
