,precision,recall,f1-score,support
lying,0.8682656826568266,0.7851184517851184,0.8246013667425968,2997.0
sitting,0.6554591467823572,0.6290770298403886,0.6419971671388102,2882.0
standing,0.6401992382068561,0.7391745602165088,0.6861359711100644,2956.0
walking,0.7685399024890942,0.80575733118106,0.7867086945101129,3717.0
running,0.7975852272727273,0.7359108781127129,0.765507839127471,1526.0
cycling,0.7637605464041783,0.7417089348419821,0.7525732383214568,2563.0
nordic_walking,0.8319451249387555,0.5799180327868853,0.6834373113302475,2928.0
ascending_stairs,0.5604693140794224,0.6869469026548672,0.617296222664016,1808.0
descending_stairs,0.5620915032679739,0.4795539033457249,0.5175526579739218,1614.0
vacuum_cleaning,0.6160912258473235,0.7129765395894428,0.6610025488530161,2728.0
ironing,0.750132625994695,0.7606239913932221,0.7553418803418803,3718.0
rope_jumping,0.42094240837696334,0.5275590551181102,0.46825859056493885,762.0
accuracy,0.70396370740753,0.70396370740753,0.70396370740753,0.70396370740753
macro avg,0.6862901621930977,0.6820271342388352,0.6800344573898779,30199.0
weighted avg,0.7139931199571702,0.70396370740753,0.7050526696499059,30199.0
