,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2353,366,167,1,0,0,0,5,0,51,54,0
sitting,196,1813,504,0,0,2,2,2,0,52,311,0
standing,141,389,2185,0,0,0,0,0,5,40,196,0
walking,0,0,48,2995,0,14,52,327,207,64,5,5
running,0,1,27,4,1123,10,7,15,22,6,7,304
cycling,0,0,10,2,0,1901,37,38,45,481,47,2
nordic_walking,0,14,19,505,0,78,1698,283,147,60,8,116
ascending_stairs,2,8,62,213,17,16,64,1242,116,27,9,32
descending_stairs,1,3,49,153,40,60,143,223,774,54,20,94
vacuum_cleaning,8,19,63,24,0,313,22,30,19,1945,285,0
ironing,9,153,279,0,0,71,0,0,4,374,2828,0
rope_jumping,0,0,0,0,228,24,16,51,38,3,0,402
