,precision,recall,f1-score,support
lying,0.9687287559483345,0.9743589743589743,0.9715357081983979,2925.0
sitting,0.7880415324024347,0.7637057598889659,0.7756828193832599,2882.0
standing,0.7873333333333333,0.7990527740189445,0.7931497649429147,2956.0
walking,0.9363528715216104,0.8509550712940543,0.8916138125440451,3717.0
running,0.9160419790104948,0.8007863695937091,0.8545454545454545,1526.0
cycling,0.9519543973941368,0.9122122512680453,0.9316596931659693,2563.0
nordic_walking,0.9913351713272942,0.8596311475409836,0.9207975123468081,2928.0
ascending_stairs,0.6101832993890021,0.8285398230088495,0.7027914614121511,1808.0
descending_stairs,0.6792058516196448,0.80545229244114,0.7369614512471655,1614.0
vacuum_cleaning,0.8606911447084233,0.876466275659824,0.8685070831819833,2728.0
ironing,0.8624934520691462,0.885691231845078,0.8739384288747346,3718.0
rope_jumping,0.8635724331926864,0.8154050464807437,0.8387978142076503,753.0
accuracy,0.8549372468291387,0.8549372468291387,0.8549372468291387,0.8549372468291387
macro avg,0.8513278518263784,0.8476880847832761,0.8466650836708779,30118.0
weighted avg,0.8651720770306973,0.8549372468291387,0.8577668587500401,30118.0
