,precision,recall,f1-score,support
lying,0.897723292469352,0.8551885218551886,0.8759398496240601,2997.0
sitting,0.6982758620689655,0.7026370575988896,0.7004496713939813,2882.0
standing,0.6829971181556196,0.7215832205683356,0.7017601579207107,2956.0
walking,0.7868725868725869,0.8224374495560937,0.8042620363062352,3717.0
running,0.9197138314785374,0.7581913499344692,0.8311781609195402,1526.0
cycling,0.8018504240555128,0.8115489660554038,0.8066705448904402,2563.0
nordic_walking,0.8923988153998026,0.6174863387978142,0.7299152200242228,2928.0
ascending_stairs,0.54376886589047,0.6974557522123894,0.6110976496244245,1808.0
descending_stairs,0.6447721179624665,0.5960346964064436,0.6194462330972311,1614.0
vacuum_cleaning,0.6674480910917615,0.7305718475073314,0.6975848792439622,2728.0
ironing,0.7222222222222222,0.7377622377622378,0.7299095263437999,3718.0
rope_jumping,0.6012461059190031,0.7598425196850394,0.671304347826087,762.0
accuracy,0.7404549819530448,0.7404549819530448,0.7404549819530448,0.7404549819530448
macro avg,0.7382741111321917,0.7342283298283031,0.7316265231012246,30199.0
weighted avg,0.7518854518103313,0.7404549819530448,0.7422033443392214,30199.0
