,precision,recall,f1-score,support
lying,0.848560255954497,0.8160683760683761,0.8319972115719763,2925.0
sitting,0.6546717171717171,0.7196391394864677,0.6856198347107438,2882.0
standing,0.7186349949815992,0.7266576454668471,0.7226240538267452,2956.0
walking,0.881074168797954,0.9268227064837234,0.9033696079716795,3717.0
running,0.8210976478973628,0.7549148099606815,0.7866165926937522,1526.0
cycling,0.8136363636363636,0.8380803745610612,0.8256774937536037,2563.0
nordic_walking,0.8862642169728784,0.6919398907103825,0.7771384733410049,2928.0
ascending_stairs,0.5781876503608661,0.797566371681416,0.6703858670385867,1808.0
descending_stairs,0.7036363636363636,0.7193308550185874,0.7113970588235294,1614.0
vacuum_cleaning,0.783860502838605,0.7085777126099707,0.7443203696572969,2728.0
ironing,0.8068121341138904,0.8154922001075847,0.8111289459604066,3718.0
rope_jumping,0.6987060998151571,0.50199203187251,0.5842349304482226,753.0
accuracy,0.774487017730261,0.774487017730261,0.774487017730261,0.774487017730261
macro avg,0.7662618430147711,0.7514235095023007,0.7545425366497955,30118.0
weighted avg,0.7818123390807115,0.774487017730261,0.7750170769304385,30118.0
