,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2387,402,82,2,0,0,2,6,0,25,19,0
sitting,210,2074,333,5,1,3,1,6,0,28,221,0
standing,179,406,2148,0,0,0,0,1,0,9,213,0
walking,0,0,26,3445,4,2,13,142,50,32,3,0
running,3,0,24,1,1152,16,0,185,27,0,4,114
cycling,3,0,24,4,1,2148,2,33,64,216,62,6
nordic_walking,0,6,35,262,0,9,2026,374,201,3,6,6
ascending_stairs,0,1,71,103,1,22,65,1442,75,6,17,5
descending_stairs,0,1,28,70,4,11,175,117,1161,10,5,32
vacuum_cleaning,13,32,40,18,0,385,2,103,26,1933,176,0
ironing,18,246,178,0,0,38,0,2,0,204,3032,0
rope_jumping,0,0,0,0,240,6,0,83,46,0,0,378
