,precision,recall,f1-score,support
lying,0.9150604377654361,0.9576068376068376,0.9358503174072836,2925.0
sitting,0.8286852589641435,0.6495489243580846,0.7282629838552811,2882.0
standing,0.7303921568627451,0.8064952638700947,0.7665594855305466,2956.0
walking,0.9325842696629213,0.848533763788001,0.8885758557543316,3717.0
running,0.9466666666666667,0.790956749672346,0.861835058907533,1526.0
cycling,0.8200934579439252,0.9586422161529458,0.8839719373988127,2563.0
nordic_walking,0.9839704069050554,0.8176229508196722,0.8931169557918299,2928.0
ascending_stairs,0.6258223684210527,0.8418141592920354,0.7179245283018868,1808.0
descending_stairs,0.7235263432446531,0.8593556381660471,0.7856131407533277,1614.0
vacuum_cleaning,0.8777652793400825,0.8581378299120235,0.867840593141798,2728.0
ironing,0.8843995510662177,0.8477676169983862,0.8656962372974457,3718.0
rope_jumping,0.7085253456221198,0.8167330677290837,0.7587908698334361,753.0
accuracy,0.8395643801049206,0.8395643801049206,0.8395643801049206,0.8395643801049206
macro avg,0.8314576285387516,0.8377679181971298,0.8295031636644593,30118.0
weighted avg,0.8510981811057526,0.8395643801049206,0.8408364979298723,30118.0
