,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2801,16,13,0,0,0,0,7,0,11,16,61
sitting,147,1872,573,4,0,8,0,67,2,48,161,0
standing,4,265,2384,40,10,0,1,146,5,10,91,0
walking,1,0,10,3154,4,4,19,470,34,21,0,0
running,0,0,8,3,1207,18,3,19,84,0,2,182
cycling,3,0,4,5,1,2457,7,9,54,9,14,0
nordic_walking,95,8,24,71,9,167,2394,15,125,15,5,0
ascending_stairs,2,7,25,62,5,10,6,1522,150,9,10,0
descending_stairs,0,5,16,30,8,12,3,136,1387,7,0,10
vacuum_cleaning,4,26,28,12,0,194,0,7,3,2341,113,0
ironing,4,60,179,1,0,119,0,7,2,194,3152,0
rope_jumping,0,0,0,0,31,7,0,27,71,2,0,615
