dataset,fold,test_subject,eval_sample_id,sequence_start_source_index,sequence_end_source_index,target_source_index,y_true
pamap2,1,101,0,0,9,9,0
pamap2,1,101,1,1,10,10,0
pamap2,1,101,2,2,11,11,0
pamap2,1,101,3,3,12,12,0
pamap2,1,101,4,4,13,13,0
pamap2,1,101,5,5,14,14,0
pamap2,1,101,6,6,15,15,0
pamap2,1,101,7,7,16,16,0
pamap2,1,101,8,8,17,17,0
pamap2,1,101,9,9,18,18,0
pamap2,1,101,10,10,19,19,0
pamap2,1,101,11,11,20,20,0
pamap2,1,101,12,12,21,21,0
pamap2,1,101,13,13,22,22,0
pamap2,1,101,14,14,23,23,0
pamap2,1,101,15,15,24,24,0
pamap2,1,101,16,16,25,25,0
pamap2,1,101,17,17,26,26,0
pamap2,1,101,18,18,27,27,0
pamap2,1,101,19,19,28,28,0
pamap2,1,101,20,20,29,29,0
pamap2,1,101,21,21,30,30,0
pamap2,1,101,22,22,31,31,0
pamap2,1,101,23,23,32,32,0
pamap2,1,101,24,24,33,33,0
pamap2,1,101,25,25,34,34,0
pamap2,1,101,26,26,35,35,0
pamap2,1,101,27,27,36,36,0
pamap2,1,101,28,28,37,37,0
pamap2,1,101,29,29,38,38,0
pamap2,1,101,30,30,39,39,0
pamap2,1,101,31,31,40,40,0
pamap2,1,101,32,32,41,41,0
pamap2,1,101,33,33,42,42,0
pamap2,1,101,34,34,43,43,0
pamap2,1,101,35,35,44,44,0
pamap2,1,101,36,36,45,45,0
pamap2,1,101,37,37,46,46,0
pamap2,1,101,38,38,47,47,0
pamap2,1,101,39,39,48,48,0
pamap2,1,101,40,40,49,49,0
pamap2,1,101,41,41,50,50,0
pamap2,1,101,42,42,51,51,0
pamap2,1,101,43,43,52,52,0
pamap2,1,101,44,44,53,53,0
pamap2,1,101,45,45,54,54,0
pamap2,1,101,46,46,55,55,0
pamap2,1,101,47,47,56,56,0
pamap2,1,101,48,48,57,57,0
pamap2,1,101,49,49,58,58,0
pamap2,1,101,50,50,59,59,0
pamap2,1,101,51,51,60,60,0
pamap2,1,101,52,52,61,61,0
pamap2,1,101,53,53,62,62,0
pamap2,1,101,54,54,63,63,0
pamap2,1,101,55,55,64,64,0
pamap2,1,101,56,56,65,65,0
pamap2,1,101,57,57,66,66,0
pamap2,1,101,58,58,67,67,0
pamap2,1,101,59,59,68,68,0
pamap2,1,101,60,60,69,69,0
pamap2,1,101,61,61,70,70,0
pamap2,1,101,62,62,71,71,0
pamap2,1,101,63,63,72,72,0
pamap2,1,101,64,64,73,73,0
pamap2,1,101,65,65,74,74,0
pamap2,1,101,66,66,75,75,0
pamap2,1,101,67,67,76,76,0
pamap2,1,101,68,68,77,77,0
pamap2,1,101,69,69,78,78,0
pamap2,1,101,70,70,79,79,0
pamap2,1,101,71,71,80,80,0
pamap2,1,101,72,72,81,81,0
pamap2,1,101,73,73,82,82,0
pamap2,1,101,74,74,83,83,0
pamap2,1,101,75,75,84,84,0
pamap2,1,101,76,76,85,85,0
pamap2,1,101,77,77,86,86,0
pamap2,1,101,78,78,87,87,0
pamap2,1,101,79,79,88,88,0
pamap2,1,101,80,80,89,89,0
pamap2,1,101,81,81,90,90,0
pamap2,1,101,82,82,91,91,0
pamap2,1,101,83,83,92,92,0
pamap2,1,101,84,84,93,93,0
pamap2,1,101,85,85,94,94,0
pamap2,1,101,86,86,95,95,0
pamap2,1,101,87,87,96,96,0
pamap2,1,101,88,88,97,97,0
pamap2,1,101,89,89,98,98,0
pamap2,1,101,90,90,99,99,0
pamap2,1,101,91,91,100,100,0
pamap2,1,101,92,92,101,101,0
pamap2,1,101,93,93,102,102,0
pamap2,1,101,94,94,103,103,0
pamap2,1,101,95,95,104,104,0
pamap2,1,101,96,96,105,105,0
pamap2,1,101,97,97,106,106,0
pamap2,1,101,98,98,107,107,0
pamap2,1,101,99,99,108,108,0
pamap2,1,101,100,100,109,109,0
pamap2,1,101,101,101,110,110,0
pamap2,1,101,102,102,111,111,0
pamap2,1,101,103,103,112,112,0
pamap2,1,101,104,104,113,113,0
pamap2,1,101,105,105,114,114,0
pamap2,1,101,106,106,115,115,0
pamap2,1,101,107,107,116,116,0
pamap2,1,101,108,108,117,117,0
pamap2,1,101,109,109,118,118,0
pamap2,1,101,110,110,119,119,0
pamap2,1,101,111,111,120,120,0
pamap2,1,101,112,112,121,121,0
pamap2,1,101,113,113,122,122,0
pamap2,1,101,114,114,123,123,0
pamap2,1,101,115,115,124,124,0
pamap2,1,101,116,116,125,125,0
pamap2,1,101,117,117,126,126,0
pamap2,1,101,118,118,127,127,0
pamap2,1,101,119,119,128,128,0
pamap2,1,101,120,120,129,129,0
pamap2,1,101,121,121,130,130,0
pamap2,1,101,122,122,131,131,0
pamap2,1,101,123,123,132,132,0
pamap2,1,101,124,124,133,133,0
pamap2,1,101,125,125,134,134,0
pamap2,1,101,126,126,135,135,0
pamap2,1,101,127,127,136,136,0
pamap2,1,101,128,128,137,137,0
pamap2,1,101,129,129,138,138,0
pamap2,1,101,130,130,139,139,0
pamap2,1,101,131,131,140,140,0
pamap2,1,101,132,132,141,141,0
pamap2,1,101,133,133,142,142,0
pamap2,1,101,134,134,143,143,0
pamap2,1,101,135,135,144,144,0
pamap2,1,101,136,136,145,145,0
pamap2,1,101,137,137,146,146,0
pamap2,1,101,138,138,147,147,0
pamap2,1,101,139,139,148,148,0
pamap2,1,101,140,140,149,149,0
pamap2,1,101,141,141,150,150,0
pamap2,1,101,142,142,151,151,0
pamap2,1,101,143,143,152,152,0
pamap2,1,101,144,144,153,153,0
pamap2,1,101,145,145,154,154,0
pamap2,1,101,146,146,155,155,0
