,precision,recall,f1-score,support
lying,0.8742608154372861,0.9603418803418804,0.9152818507657218,2925.0
sitting,0.6893862326212276,0.705412907702984,0.697307494426342,2882.0
standing,0.7634128166915052,0.6931664411366711,0.7265957446808511,2956.0
walking,0.911944202266783,0.8442292171105731,0.8767812238055323,3717.0
running,0.9706136560069144,0.7359108781127129,0.8371226239284383,1526.0
cycling,0.8944402704733283,0.9289894654701522,0.9113875598086124,2563.0
nordic_walking,0.9825581395348837,0.8080601092896175,0.8868065967016492,2928.0
ascending_stairs,0.6644620811287478,0.8335176991150443,0.739450441609421,1808.0
descending_stairs,0.6595849802371542,0.8271375464684015,0.7339197361187466,1614.0
vacuum_cleaning,0.8718526869597896,0.8504398826979472,0.8610131749860828,2728.0
ironing,0.8808499193114577,0.8808499193114577,0.8808499193114577,3718.0
rope_jumping,0.7288317256162915,0.9030544488711819,0.8066429418742586,753.0
accuracy,0.8305996414104522,0.8305996414104522,0.8305996414104522,0.8305996414104522
macro avg,0.8243497938571142,0.8309258663023854,0.8227632756680928,30118.0
weighted avg,0.8403296367149516,0.8305996414104522,0.8319369322914454,30118.0
