,precision,recall,f1-score,support
lying,0.9290563475899525,0.9132465799132465,0.9210836277974087,2997.0
sitting,0.5734120097188476,0.5732130464954892,0.573312510845046,2882.0
standing,0.6560747663551402,0.4749661705006766,0.5510204081632653,2956.0
walking,0.8010291595197255,0.6281947807371536,0.7041616405307599,3717.0
running,0.8292862398822664,0.7385321100917431,0.7812824956672444,1526.0
cycling,0.8152173913043478,0.760827155676941,0.7870837537840565,2563.0
nordic_walking,0.7039395145244728,0.6041666666666666,0.6502481161551186,2928.0
ascending_stairs,0.4852459016393443,0.5730088495575221,0.5254882069490235,1808.0
descending_stairs,0.2952146375791696,0.5198265179677819,0.3765709156193896,1614.0
vacuum_cleaning,0.5068302202397547,0.6664222873900293,0.5757719714964371,2728.0
ironing,0.5914366778436936,0.6167294244217321,0.603818301514154,3718.0
rope_jumping,0.8643790849673203,0.6942257217847769,0.7700145560407569,762.0
accuracy,0.6453524951157323,0.6453524951157323,0.6453524951157323,0.6453524951157323
macro avg,0.6709268292636695,0.6469466092669799,0.651654708713555,30199.0
weighted avg,0.674320932564561,0.6453524951157323,0.6534236324889939,30199.0
