dataset,feature_set,window_type,model,eval_unit,raw_window_shape,n_nodes,node_feat_dim,n_classes,total_params,trainable_params,non_trainable_params,buffer_values,parameter_size_mb_float32,profile_method,processed_dir
pamap2,acc16_hr,overlapping,lstm,window,"[128, 10]",13,23,12,212812,212812,0,0,0.8118133544921875,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_hr\overlapping
pamap2,acc16_hr,overlapping,gnn,window,"[128, 10]",13,23,12,10892,10892,0,258,0.0415496826171875,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_hr\overlapping
pamap2,acc16_hr,overlapping,gnn_lstm,sequence,"[128, 10]",13,23,12,246412,246412,0,258,0.9399871826171875,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_hr\overlapping
pamap2,acc16_hr,overlapping,improved_gnn_lstm,sequence,"[128, 10]",13,23,12,828045,828045,0,0,3.158740997314453,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_hr\overlapping
pamap2,acc16_hr,overlapping,gnn_flatten_lstm,sequence,"[128, 10]",13,23,12,360780,360780,0,0,1.3762664794921875,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_hr\overlapping
pamap2,acc16_hr,overlapping,gnn_learnable_adj,window,"[128, 10]",13,23,12,11061,11061,0,258,0.042194366455078125,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_hr\overlapping
pamap2,acc16_hr,overlapping,gnn_attention_adj,window,"[128, 10]",13,23,12,11061,11061,0,427,0.042194366455078125,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_hr\overlapping
pamap2,acc16_hr,overlapping,improved_gnn_lstm_attn_adj,sequence,"[128, 10]",13,23,12,828214,828214,0,169,3.1593856811523438,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_hr\overlapping
pamap2,acc16_hr,overlapping,cnn,window,"[128, 10]",13,23,12,300908,300908,0,451,1.1478729248046875,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_hr\overlapping
pamap2,acc16_gyro,overlapping,lstm,window,"[128, 18]",21,23,12,216908,216908,0,0,0.8274383544921875,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_gyro\overlapping
pamap2,acc16_gyro,overlapping,gnn,window,"[128, 18]",21,23,12,10892,10892,0,258,0.0415496826171875,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_gyro\overlapping
pamap2,acc16_gyro,overlapping,gnn_lstm,sequence,"[128, 18]",21,23,12,246412,246412,0,258,0.9399871826171875,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_gyro\overlapping
pamap2,acc16_gyro,overlapping,improved_gnn_lstm,sequence,"[128, 18]",21,23,12,917133,917133,0,0,3.498584747314453,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_gyro\overlapping
pamap2,acc16_gyro,overlapping,gnn_flatten_lstm,sequence,"[128, 18]",21,23,12,454988,454988,0,0,1.7356414794921875,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_gyro\overlapping
pamap2,acc16_gyro,overlapping,gnn_learnable_adj,window,"[128, 18]",21,23,12,11333,11333,0,258,0.043231964111328125,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_gyro\overlapping
pamap2,acc16_gyro,overlapping,gnn_attention_adj,window,"[128, 18]",21,23,12,11333,11333,0,699,0.043231964111328125,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_gyro\overlapping
pamap2,acc16_gyro,overlapping,improved_gnn_lstm_attn_adj,sequence,"[128, 18]",21,23,12,917574,917574,0,441,3.5002670288085938,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_gyro\overlapping
pamap2,acc16_gyro,overlapping,cnn,window,"[128, 18]",21,23,12,302188,302188,0,451,1.1527557373046875,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_gyro\overlapping
pamap2,acc16_gyro_hr,overlapping,lstm,window,"[128, 19]",22,23,12,217420,217420,0,0,0.8293914794921875,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_gyro_hr\overlapping
pamap2,acc16_gyro_hr,overlapping,gnn,window,"[128, 19]",22,23,12,10892,10892,0,258,0.0415496826171875,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_gyro_hr\overlapping
pamap2,acc16_gyro_hr,overlapping,gnn_lstm,sequence,"[128, 19]",22,23,12,246412,246412,0,258,0.9399871826171875,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_gyro_hr\overlapping
pamap2,acc16_gyro_hr,overlapping,improved_gnn_lstm,sequence,"[128, 19]",22,23,12,928269,928269,0,0,3.541065216064453,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_gyro_hr\overlapping
pamap2,acc16_gyro_hr,overlapping,gnn_flatten_lstm,sequence,"[128, 19]",22,23,12,466764,466764,0,0,1.7805633544921875,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_gyro_hr\overlapping
pamap2,acc16_gyro_hr,overlapping,gnn_learnable_adj,window,"[128, 19]",22,23,12,11376,11376,0,258,0.04339599609375,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_gyro_hr\overlapping
pamap2,acc16_gyro_hr,overlapping,gnn_attention_adj,window,"[128, 19]",22,23,12,11376,11376,0,742,0.04339599609375,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_gyro_hr\overlapping
pamap2,acc16_gyro_hr,overlapping,improved_gnn_lstm_attn_adj,sequence,"[128, 19]",22,23,12,928753,928753,0,484,3.5429115295410156,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_gyro_hr\overlapping
pamap2,acc16_gyro_hr,overlapping,cnn,window,"[128, 19]",22,23,12,302348,302348,0,451,1.1533660888671875,computed from instantiated torch module using sum(p.numel()),data\processed\canonical_protocol_only\pamap2\acc16_gyro_hr\overlapping
