dataset,feature_set,window_type,task,sessions,variant_name,eval_protocol,model,eval_unit,fold,fold_subject,test_subject,validation_subject,n_train_windows,n_val_windows,n_test_windows,n_test_windows_raw,n_train_eval_samples,n_val_eval_samples,n_test_eval_samples,n_test_predictions,n_test_classes,total_params,trainable_params,non_trainable_params,parameter_size_mb_float32,standardize_input,class_balanced_loss,label_smoothing,lr,optimizer,weight_decay,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,artifact_dir
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v2_norm_balanced_ls005,loso,improved_gnn_lstm,sequence,1,101,101,102,22221,4095,3883,3883,22158,4086,3874,3874,12,928269,928269,0,3.541065216064453,True,True,0.05,0.0005,adamw,0.0003,0.908363448631905,0.9082392155162026,0.9081188177458408,0.9062982096622976,0.920566553479584,0.9082392155162026,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v2_norm_balanced_ls005,loso,improved_gnn_lstm,sequence,2,102,102,103,23396,2708,4095,4095,23333,2699,4086,4086,12,928269,928269,0,3.541065216064453,True,True,0.05,0.0005,adamw,0.0003,0.9052863436123348,0.8759348724250297,0.8788567482179315,0.9034531047456522,0.9150691782393956,0.8759348724250297,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v2_norm_balanced_ls005,loso,improved_gnn_lstm,sequence,3,103,103,104,23892,3599,2708,2708,23829,3590,2699,2699,8,928269,928269,0,3.541065216064453,True,True,0.05,0.0005,adamw,0.0003,0.93701370878103,0.9302970816238928,0.6264353525172653,0.9404883058216555,0.6342980201292608,0.6201980544159286,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v2_norm_balanced_ls005,loso,improved_gnn_lstm,sequence,4,104,104,105,22364,4236,3599,3599,22301,4227,3590,3590,10,928269,928269,0,3.541065216064453,True,True,0.05,0.0005,adamw,0.0003,0.8963788300835654,0.8993949818991525,0.7439911574988995,0.8935046947524313,0.7525736921130873,0.7494958182492937,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v2_norm_balanced_ls005,loso,improved_gnn_lstm,sequence,5,105,105,106,22076,3887,4236,4236,22013,3878,4227,4227,12,928269,928269,0,3.541065216064453,True,True,0.05,0.0005,adamw,0.0003,0.8963804116394606,0.8979206617998315,0.8949776093585289,0.8984936758665263,0.9016837875909556,0.8979206617998315,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v2_norm_balanced_ls005,loso,improved_gnn_lstm,sequence,6,106,106,107,22695,3617,3887,3887,22632,3608,3878,3878,12,928269,928269,0,3.541065216064453,True,True,0.05,0.0005,adamw,0.0003,0.9012377514182568,0.8300257256783339,0.8220924251850276,0.9009595039116254,0.8218426295379099,0.8300257256783339,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v2_norm_balanced_ls005,loso,improved_gnn_lstm,sequence,7,107,107,108,22506,4076,3617,3617,22443,4067,3608,3608,11,928269,928269,0,3.541065216064453,True,True,0.05,0.0005,adamw,0.0003,0.9611973392461196,0.9449811998928872,0.8706352802848655,0.9617489543989912,0.8791175327641896,0.86623276656848,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v2_norm_balanced_ls005,loso,improved_gnn_lstm,sequence,8,108,108,109,26025,98,4076,4076,25962,89,4067,4067,12,928269,928269,0,3.541065216064453,True,True,0.05,0.0005,adamw,0.0003,0.7054339808212442,0.7008811054683091,0.6096172954622558,0.6361577184379104,0.6617212735682637,0.7008811054683091,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v2_norm_balanced_ls005,loso,improved_gnn_lstm,sequence,9,109,109,101,26218,3883,98,98,26155,3874,89,89,1,928269,928269,0,3.541065216064453,True,True,0.05,0.0005,adamw,0.0003,0.5842696629213483,0.5842696629213483,0.0614657210401891,0.7375886524822693,0.0833333333333333,0.048689138576779,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v2_norm_balanced_ls005,loso,improved_gnn_lstm_attn_adj,sequence,1,101,101,102,22221,4095,3883,3883,22158,4086,3874,3874,12,928753,928753,0,3.542911529541016,True,True,0.05,0.0005,adamw,0.0003,0.8644811564274651,0.8679193766768548,0.8638180410294005,0.8619166958259227,0.8825108636007385,0.8679193766768548,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v2_norm_balanced_ls005,loso,improved_gnn_lstm_attn_adj,sequence,2,102,102,103,23396,2708,4095,4095,23333,2699,4086,4086,12,928753,928753,0,3.542911529541016,True,True,0.05,0.0005,adamw,0.0003,0.6891825746451297,0.6913666366564925,0.65875868421513,0.6694768917306614,0.7876447483956585,0.6913666366564925,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v2_norm_balanced_ls005,loso,improved_gnn_lstm_attn_adj,sequence,3,103,103,104,23892,3599,2708,2708,23829,3590,2699,2699,8,928753,928753,0,3.542911529541016,True,True,0.05,0.0005,adamw,0.0003,0.9399777695442756,0.934279421377806,0.626350846878498,0.9402295071718786,0.6307930057334703,0.6228529475852039,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v2_norm_balanced_ls005,loso,improved_gnn_lstm_attn_adj,sequence,4,104,104,105,22364,4236,3599,3599,22301,4227,3590,3590,10,928753,928753,0,3.542911529541016,True,True,0.05,0.0005,adamw,0.0003,0.8484679665738162,0.8562673555587909,0.6971222689550896,0.8350410098378239,0.7144952114247604,0.7135561296323257,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v2_norm_balanced_ls005,loso,improved_gnn_lstm_attn_adj,sequence,5,105,105,106,22076,3887,4236,4236,22013,3878,4227,4227,12,928753,928753,0,3.542911529541016,True,True,0.05,0.0005,adamw,0.0003,0.8928317955997161,0.8928790963156857,0.8926884029724521,0.8918285637193333,0.8991376302230716,0.8928790963156857,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v2_norm_balanced_ls005,loso,improved_gnn_lstm_attn_adj,sequence,6,106,106,107,22695,3617,3887,3887,22632,3608,3878,3878,12,928753,928753,0,3.542911529541016,True,True,0.05,0.0005,adamw,0.0003,0.9094894275399692,0.8389199489924121,0.8340432645816723,0.9110573492423656,0.836124603878971,0.8389199489924121,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v2_norm_balanced_ls005,loso,improved_gnn_lstm_attn_adj,sequence,7,107,107,108,22506,4076,3617,3617,22443,4067,3608,3608,11,928753,928753,0,3.542911529541016,True,True,0.05,0.0005,adamw,0.0003,0.9659090909090908,0.94604324913636,0.8743689673791842,0.96594021010597,0.8848312751227367,0.8672063117083301,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v2_norm_balanced_ls005,loso,improved_gnn_lstm_attn_adj,sequence,8,108,108,109,26025,98,4076,4076,25962,89,4067,4067,12,928753,928753,0,3.542911529541016,True,True,0.05,0.0005,adamw,0.0003,0.7371526924022621,0.7280007089950135,0.6768044576179014,0.7084934446951439,0.762382483238274,0.7280007089950135,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,acc16_gyro_hr,overlapping,protocol12,protocol,v2_norm_balanced_ls005,loso,improved_gnn_lstm_attn_adj,sequence,9,109,109,101,26218,3883,98,98,26155,3874,89,89,1,928753,928753,0,3.542911529541016,True,True,0.05,0.0005,adamw,0.0003,0.8764044943820225,0.8764044943820225,0.0778443113772455,0.9341317365269464,0.0833333333333333,0.0730337078651685,results\canonical_protocol_only_v2\core_comparison\pamap2\acc16_gyro_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
