,precision,recall,f1-score,support
lying,0.9815131804176652,0.9801709401709402,0.9808416010947657,2925.0
sitting,0.8261376896149358,0.7369882026370576,0.7790207225380524,2882.0
standing,0.7648,0.8085250338294994,0.7860549251767801,2956.0
walking,0.9729582081398525,0.9582997040624159,0.9655733261046354,3717.0
running,0.9552238805970149,0.7549148099606815,0.8433382137628112,1526.0
cycling,0.8671847403744259,0.9578618806086617,0.9102706711160549,2563.0
nordic_walking,0.9896992171405027,0.8203551912568307,0.8971055088702148,2928.0
ascending_stairs,0.897381079636558,0.9286504424778761,0.9127480293558032,1808.0
descending_stairs,0.7683377308707124,0.9021065675340768,0.8298660587061841,1614.0
vacuum_cleaning,0.8999277456647399,0.9131231671554252,0.9064774381368268,2728.0
ironing,0.8868168868168869,0.9209252286175363,0.9035492809077714,3718.0
rope_jumping,0.6483180428134556,0.8446215139442231,0.7335640138408305,753.0
accuracy,0.8844544790490736,0.8844544790490736,0.8844544790490736,0.8844544790490736
macro avg,0.8715248668405625,0.8772118901879353,0.8707008158008942,30118.0
weighted avg,0.8901696136599773,0.8844544790490736,0.8847761879160772,30118.0
