,precision,recall,f1-score,support
lying,0.9900309384668271,0.9846153846153847,0.9873157353445321,2925.0
sitting,0.8056104306598183,0.7074947952810549,0.753371513024201,2882.0
standing,0.7641374373657838,0.7222598105548038,0.7426086956521739,2956.0
walking,0.9146376396448009,0.8590260963142319,0.8859600443951166,3717.0
running,0.9489795918367347,0.8532110091743119,0.8985507246376812,1526.0
cycling,0.8792184724689165,0.9656652360515021,0.920416511714392,2563.0
nordic_walking,0.9803921568627451,0.7342896174863388,0.8396797500488186,2928.0
ascending_stairs,0.6232114467408585,0.8672566371681416,0.7252543940795559,1808.0
descending_stairs,0.6937775600195982,0.8773234200743495,0.774829001367989,1614.0
vacuum_cleaning,0.9108687476494923,0.8878299120234604,0.8992017820679413,2728.0
ironing,0.8470855412566237,0.9029047875201721,0.8741049342533525,3718.0
rope_jumping,0.8069544364508393,0.8937583001328021,0.8481411468178954,753.0
accuracy,0.8503220665382828,0.8503220665382828,0.8503220665382828,0.8503220665382828
macro avg,0.8470753666185865,0.8546362505330464,0.8457861861169708,30118.0
weighted avg,0.8611710644522007,0.8503220665382828,0.8513051030128151,30118.0
