dataset,feature_set,window_type,task,sessions,variant_name,eval_protocol,model,eval_unit,fold,fold_subject,test_subject,validation_subject,n_train_windows,n_val_windows,n_test_windows,n_test_windows_raw,n_train_eval_samples,n_val_eval_samples,n_test_eval_samples,n_test_predictions,n_test_classes,total_params,trainable_params,non_trainable_params,parameter_size_mb_float32,standardize_input,class_balanced_loss,label_smoothing,lr,optimizer,weight_decay,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,artifact_dir
pamap2,acc16_gyro,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_attn_adj_resbn,sequence,1,101,101,102,22221,4095,3883,3883,22158,4086,3874,3874,12,11821254,11821254,0,45.094505310058594,False,False,0.0,0.0003,adam,0.0,0.8332472896231286,0.8242750379655862,0.8215466805647936,0.8280572787033119,0.8648818461587041,0.8242750379655862,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,acc16_gyro,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_attn_adj_resbn,sequence,2,102,102,103,23396,2708,4095,4095,23333,2699,4086,4086,12,11821254,11821254,0,45.094505310058594,False,False,0.0,0.0003,adam,0.0,0.8702887909936368,0.8510513061977512,0.8347721855828397,0.8551470058875504,0.8761088409902967,0.8510513061977512,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,acc16_gyro,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_attn_adj_resbn,sequence,3,103,103,104,23892,3599,2708,2708,23829,3590,2699,2699,8,11821254,11821254,0,45.094505310058594,False,False,0.0,0.0003,adam,0.0,0.9299740644683216,0.9267432161663504,0.6209244396168776,0.9314575131647906,0.6262451841845176,0.6178288107775669,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,acc16_gyro,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_attn_adj_resbn,sequence,4,104,104,105,22364,4236,3599,3599,22301,4227,3590,3590,10,11821254,11821254,0,45.094505310058594,False,False,0.0,0.0003,adam,0.0,0.9317548746518106,0.9303396749803898,0.7752564539537525,0.9325129506724348,0.7780441043520908,0.7752830624836582,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,acc16_gyro,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_attn_adj_resbn,sequence,5,105,105,106,22076,3887,4236,4236,22013,3878,4227,4227,12,11821254,11821254,0,45.094505310058594,False,False,0.0,0.0003,adam,0.0,0.9079725573692926,0.9106892032163164,0.9100434676029656,0.908977003576877,0.91065073828588,0.9106892032163164,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,acc16_gyro,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_attn_adj_resbn,sequence,6,106,106,107,22695,3617,3887,3887,22632,3608,3878,3878,12,11821254,11821254,0,45.094505310058594,False,False,0.0,0.0003,adam,0.0,0.9167096441464672,0.8406053552823387,0.8375798242153593,0.9163210585098004,0.8364103714461363,0.8406053552823387,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,acc16_gyro,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_attn_adj_resbn,sequence,7,107,107,108,22506,4076,3617,3617,22443,4067,3608,3608,11,11821254,11821254,0,45.094505310058594,False,False,0.0,0.0003,adam,0.0,0.9578713968957872,0.942317359161078,0.8659898142412622,0.958384693406722,0.8741806971421638,0.8637909125643214,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,acc16_gyro,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_attn_adj_resbn,sequence,8,108,108,109,26025,98,4076,4076,25962,89,4067,4067,12,11821254,11821254,0,45.094505310058594,False,False,0.0,0.0003,adam,0.0,0.7046963363658717,0.7400578000726732,0.7177220962139385,0.6902321556655582,0.7824474839980936,0.7400578000726732,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,acc16_gyro,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_attn_adj_resbn,sequence,9,109,109,101,26218,3883,98,98,26155,3874,89,89,1,11821254,11821254,0,45.094505310058594,False,False,0.0,0.0003,adam,0.0,0.9775280898876404,0.9775280898876404,0.0823863636363636,0.9886363636363636,0.0833333333333333,0.0814606741573033,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,acc16_gyro,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_res,sequence,1,101,101,102,22221,4095,3883,3883,22158,4086,3874,3874,12,11820813,11820813,0,45.09282302856445,False,False,0.0,0.0003,adam,0.0,0.8913267940113577,0.8935461639493255,0.8990617542984789,0.89371072278298,0.9107775617274076,0.8935461639493255,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,acc16_gyro,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_res,sequence,2,102,102,103,23396,2708,4095,4095,23333,2699,4086,4086,12,11820813,11820813,0,45.09282302856445,False,False,0.0,0.0003,adam,0.0,0.8788546255506607,0.8736657373191915,0.8691868299643618,0.8762047698796204,0.8890725362074727,0.8736657373191915,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,acc16_gyro,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_res,sequence,3,103,103,104,23892,3599,2708,2708,23829,3590,2699,2699,8,11820813,11820813,0,45.09282302856445,False,False,0.0,0.0003,adam,0.0,0.8918117821415339,0.8915571097864328,0.5967264097769615,0.8936459561306618,0.603107078274745,0.5943714065242885,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,acc16_gyro,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_res,sequence,4,104,104,105,22364,4236,3599,3599,22301,4227,3590,3590,10,11820813,11820813,0,45.09282302856445,False,False,0.0,0.0003,adam,0.0,0.9434540389972144,0.94182379169744,0.7868631385601489,0.944272754645344,0.7928502155625453,0.7848531597478666,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,acc16_gyro,overlapping,protocol12,protocol,v3_residual_arch,loso,improved_gnn_lstm_res,sequence,5,105,105,106,22076,3887,4236,4236,22013,3878,4227,4227,12,11820813,11820813,0,45.09282302856445,False,False,0.0,0.0003,adam,0.0,0.9188549798911758,0.9144726578237096,0.9189253507815563,0.9196332401564756,0.9261138801724078,0.9144726578237096,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
