dataset,model,eval_unit,fold,test_subject,validation_subject,best_epoch,last_epoch,early_stop_metric,early_stop_mode,train_loss_at_best,val_loss_at_best,train_acc_at_best,val_acc_at_best,train_macro_f1_at_best,val_macro_f1_at_best,test_acc,test_macro_f1,test_balanced_accuracy,train_val_loss_gap_at_best,train_val_acc_gap_at_best,train_val_macro_f1_gap_at_best,val_test_macro_f1_gap,val_macro_f1_drop_best_to_last,overfit_risk_score,overfit_flag_f1_gap_gt_0_15,overfit_flag_val_drop_gt_0_10,overfit_flag_val_test_gap_gt_0_15,artifact_dir
pamap2,improved_gnn_lstm_attn_adj_resbn,sequence,1,101,102,1,9,val_macro_f1,max,0.3382621828417225,0.8662083844830452,0.9111381893672714,0.8531571218795888,0.906425426661391,0.8093371204571288,0.8332472896231286,0.8215466805647936,0.8242750379655862,0.5279462016413226,0.0579810674876826,0.0970883062042622,-0.0122095601076648,0.2178054120227968,0.314893718227059,False,True,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,improved_gnn_lstm_attn_adj_resbn,sequence,2,102,103,4,12,val_macro_f1,max,0.1409205450954066,0.2415725723803202,0.9612565893798484,0.9392367543534642,0.957609275363549,0.6242956378373329,0.8702887909936368,0.8347721855828397,0.8510513061977512,0.1006520272849136,0.022019835026384,0.3333136375262161,-0.2104765477455068,0.0102817195173829,0.3435953570435991,True,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,improved_gnn_lstm_attn_adj_resbn,sequence,3,103,104,2,10,val_macro_f1,max,0.2158469608942873,0.2373580647953838,0.944017793444962,0.937883008356546,0.9418542074829118,0.7816896521207496,0.9299740644683216,0.6209244396168776,0.9267432161663504,0.0215111039010965,0.0061347850884161,0.1601645553621622,0.160765212503872,0.0413801407549838,0.3623099086210181,True,False,True,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,improved_gnn_lstm_attn_adj_resbn,sequence,4,104,105,7,15,val_macro_f1,max,0.1011595733333134,0.448304832730734,0.9721088740415228,0.915542938254081,0.9705992635025904,0.9129722866230124,0.9317548746518106,0.7752564539537525,0.9303396749803898,0.3471452593974206,0.0565659357874418,0.057626976879578,0.1377158326692598,0.0142720892844775,0.2096148988333154,False,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,improved_gnn_lstm_attn_adj_resbn,sequence,5,105,106,16,24,val_macro_f1,max,0.0285423444093241,0.5192180570434772,0.9915958751646754,0.9314079422382672,0.9914244788716648,0.8504472213905453,0.9079725573692926,0.9100434676029656,0.9106892032163164,0.4906757126341531,0.0601879329264082,0.1409772574811194,-0.0595962462124202,0.0078768202781844,0.1488540777593039,False,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,improved_gnn_lstm_attn_adj_resbn,sequence,6,106,107,16,24,val_macro_f1,max,0.0199381445459005,0.1899940441291203,0.9943001060445388,0.9717294900221728,0.9943946680937482,0.882663443803957,0.9167096441464672,0.8375798242153593,0.8406053552823387,0.1700558995832198,0.0225706160223657,0.1117312242897912,0.0450836195885977,0.0130434263670131,0.1698582702454021,False,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,improved_gnn_lstm_attn_adj_resbn,sequence,7,107,108,5,13,val_macro_f1,max,0.12602743369167,2.288322243834221,0.9641313549881924,0.7233833292353086,0.963814436497436,0.7248549716388277,0.9578713968957872,0.8659898142412622,0.942317359161078,2.162294810142551,0.2407480257528838,0.2389594648586084,-0.1411348426024344,0.0891676417803324,0.3281271066389408,True,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,improved_gnn_lstm_attn_adj_resbn,sequence,8,108,109,1,9,val_macro_f1,max,0.3371044704378484,0.0335695006926491,0.9104845543486634,1.0,0.9102344124758928,0.0833333333333333,0.7046963363658717,0.7177220962139385,0.7400578000726732,-0.3035349697451993,-0.0895154456513366,0.8269010791425593,-0.6343887628806051,0.0,0.8269010791425593,True,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,improved_gnn_lstm_attn_adj_resbn,sequence,9,109,101,7,15,val_macro_f1,max,0.0861003493241994,0.9780666599705586,0.9779009749569872,0.8662880743417656,0.9764149884737834,0.8748801902635067,0.9775280898876404,0.0823863636363636,0.9775280898876404,0.8919663106463592,0.1116129006152216,0.1015347982102766,0.7924938266271431,0.0054413742147478,0.8994699990521676,False,False,True,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj_resbn\sequence
pamap2,improved_gnn_lstm_res,sequence,1,101,102,4,12,val_macro_f1,max,0.1463025942006334,0.8013624255143461,0.9610073111291632,0.8595203132648067,0.9577089768241086,0.8175512090719544,0.8913267940113577,0.8990617542984789,0.8935461639493255,0.6550598313137127,0.1014869978643565,0.1401577677521541,-0.0815105452265244,0.2155558096301673,0.3557135773823214,False,True,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,improved_gnn_lstm_res,sequence,2,102,103,11,19,val_macro_f1,max,0.0417954593612638,0.4779036944483406,0.9873998199974284,0.9329381252315672,0.9855508789279194,0.6216608766938941,0.8788546255506607,0.8691868299643618,0.8736657373191915,0.4361082350870767,0.0544616947658612,0.3638900022340252,-0.2475259532704676,0.0271446531850658,0.3910346554190911,True,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,improved_gnn_lstm_res,sequence,3,103,104,3,11,val_macro_f1,max,0.1905346389360739,0.3640402524486251,0.9487599143900288,0.9161559888579388,0.9461415257391864,0.7616404875559493,0.8918117821415339,0.5967264097769615,0.8915571097864328,0.1735056135125512,0.0326039255320902,0.1845010381832371,0.1649140777789878,0.0471121096588897,0.3965272256211147,True,False,True,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,improved_gnn_lstm_res,sequence,4,104,105,8,16,val_macro_f1,max,0.0706144645874231,0.4851962444656648,0.978386619434106,0.9195647030991246,0.976208734720196,0.9166509153364945,0.9434540389972144,0.7868631385601489,0.94182379169744,0.4145817798782417,0.0588219163349814,0.0595578193837015,0.1297877767763454,0.0180015718762174,0.2073471680362644,False,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,improved_gnn_lstm_res,sequence,5,105,106,4,12,val_macro_f1,max,0.1534907257364871,0.3312818142915369,0.9598419115976924,0.9223826714801444,0.9568186921958244,0.8455571641568743,0.9188549798911758,0.9189253507815563,0.9144726578237096,0.1777910885550498,0.0374592401175478,0.1112615280389501,-0.0733681866246821,0.0191106718546454,0.1303721998935956,False,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,improved_gnn_lstm_res,sequence,6,106,107,12,20,val_macro_f1,max,0.040708052282755,0.1729097114436189,0.988069989395546,0.9661862527716186,0.987862461517191,0.8753506386722862,0.890149561629706,0.8159209844836056,0.8176832190403974,0.1322016591608639,0.0218837366239275,0.1125118228449048,0.0594296541886806,0.0008419386829202,0.1727834157165056,False,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,improved_gnn_lstm_res,sequence,7,107,108,7,15,val_macro_f1,max,0.113196269060814,1.8648855373527733,0.9678741701198592,0.712318662404721,0.967166170204818,0.6632073669894649,0.9675720620842572,0.8780658031420164,0.9465499005804596,1.7516892682919594,0.2555555077151382,0.3039588032153529,-0.2148584361525515,0.0712823722166905,0.3752411754320435,True,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,improved_gnn_lstm_res,sequence,8,108,109,8,16,val_macro_f1,max,0.1017237696799884,0.0054019027470684,0.971496803019798,1.0,0.96953535748188,0.0833333333333333,0.6016719940988443,0.5077731126045331,0.6002506233795282,-0.0963218669329199,-0.0285031969802018,0.8862020241485468,-0.4244397792711997,0.0024084778420038,0.8886105019905506,True,False,False,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
pamap2,improved_gnn_lstm_res,sequence,9,109,101,8,16,val_macro_f1,max,0.061465442664336,0.7432852146777676,0.9829860447333206,0.8970056788848735,0.9817478457537344,0.8982676831175822,0.6404494382022472,0.0650684931506849,0.6404494382022472,0.6818197720134316,0.0859803658484471,0.0834801626361522,0.8331991899668972,0.0090464625985018,0.9257258152015512,False,False,True,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence
