,precision,recall,f1-score,support
lying,0.9845722300140253,0.96,0.9721308637701229,2925.0
sitting,0.6169880145909328,0.8216516308119362,0.7047619047619048,2882.0
standing,0.828363154406892,0.8457374830852503,0.8369601606963508,2956.0
walking,0.9874110563765737,0.9706752757600215,0.9789716456383123,3717.0
running,0.9781569965870307,0.9390563564875491,0.9582079572049482,1526.0
cycling,0.9379548065875144,0.9555208739758096,0.9466563587166602,2563.0
nordic_walking,0.9877533783783784,0.7988387978142076,0.8833081570996979,2928.0
ascending_stairs,0.8367983367983368,0.8904867256637168,0.8628081457663451,1808.0
descending_stairs,0.8388969521044993,0.7162329615861215,0.7727272727272727,1614.0
vacuum_cleaning,0.8760838150289018,0.8889296187683284,0.8824599708879185,2728.0
ironing,0.8698493890309748,0.8232920925228617,0.8459306342407075,3718.0
rope_jumping,0.946058091286307,0.9083665338645418,0.926829268292683,753.0
accuracy,0.8779135400757022,0.8779135400757022,0.8779135400757022,0.8779135400757022
macro avg,0.8907405184325307,0.8765656958616953,0.8809793616502438,30118.0
weighted avg,0.8888046597373911,0.8779135400757022,0.8805329897543615,30118.0
