,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2808,14,10,0,0,0,0,4,0,80,9,0
sitting,16,2368,281,4,0,0,14,13,9,40,137,0
standing,7,310,2500,7,2,0,0,12,28,10,76,4
walking,0,15,13,3608,3,0,1,2,46,14,15,0
running,0,14,14,12,1433,8,0,4,9,7,21,4
cycling,1,15,8,0,1,2449,5,38,21,6,19,0
nordic_walking,0,451,9,10,0,0,2339,9,7,76,27,0
ascending_stairs,4,24,23,2,4,7,8,1610,91,4,30,1
descending_stairs,1,8,41,5,3,106,1,215,1156,19,34,25
vacuum_cleaning,14,156,28,5,4,11,0,6,6,2425,73,0
ironing,1,441,87,1,3,26,0,9,1,83,3061,5
rope_jumping,0,22,4,0,12,4,0,2,4,4,17,684
