,precision,recall,f1-score,support
lying,0.9577368779822768,0.9606837606837607,0.9592080559822496,2925.0
sitting,0.7218141168955605,0.7841776544066621,0.7517046399467819,2882.0
standing,0.8138456442530639,0.831190798376184,0.8224267782426778,2956.0
walking,0.9795240730492529,0.9523809523809523,0.9657618333105988,3717.0
running,0.9227237949502678,0.7903014416775884,0.8513942816801977,1526.0
cycling,0.8955942243613476,0.943815840811549,0.9190729483282675,2563.0
nordic_walking,0.9759036144578314,0.8299180327868853,0.8970099667774086,2928.0
ascending_stairs,0.902498476538696,0.8191371681415929,0.8587996520730646,1808.0
descending_stairs,0.6146913023884633,0.8451053283767038,0.7117140620923559,1614.0
vacuum_cleaning,0.9149709302325582,0.9230205278592375,0.918978102189781,2728.0
ironing,0.8927000879507476,0.8189887036040883,0.8542572590826203,3718.0
rope_jumping,0.710789766407119,0.848605577689243,0.7736077481840193,753.0
accuracy,0.868882395909423,0.868882395909423,0.868882395909423,0.868882395909423
macro avg,0.8585660757889321,0.8622771488995373,0.856994610657502,30118.0
weighted avg,0.8786556535828698,0.868882395909423,0.8712805333587815,30118.0
