,precision,recall,f1-score,support
lying,0.9832577607254971,0.9637606837606838,0.9734116022099447,2925.0
sitting,0.6714446318156267,0.8289382373351839,0.7419254658385093,2882.0
standing,0.8302788844621514,0.7050067658998647,0.7625320160995244,2956.0
walking,0.9848401323042999,0.9612590799031477,0.9729067392784206,3717.0
running,0.91311093871218,0.77129750982962,0.8362344582593251,1526.0
cycling,0.8945102260495156,0.9726882559500585,0.9319626168224299,2563.0
nordic_walking,0.9965738758029978,0.79474043715847,0.8842865285958579,2928.0
ascending_stairs,0.8750676041103299,0.8949115044247787,0.8848783155592015,1808.0
descending_stairs,0.7700329308452251,0.869268897149938,0.8166472642607684,1614.0
vacuum_cleaning,0.8756855575868373,0.8779325513196481,0.876807614863628,2728.0
ironing,0.90833999467093,0.9168908015061861,0.9125953687592022,3718.0
rope_jumping,0.6903553299492385,0.9030544488711819,0.7825086306098964,753.0
accuracy,0.8754565376186998,0.8754565376186998,0.8754565376186998,0.8754565376186998
macro avg,0.8661248222529024,0.8716457644257302,0.8647247184297258,30118.0
weighted avg,0.8845528948403495,0.8754565376186998,0.8766126727119632,30118.0
